gx_company_name,ticker,mapped_company_name
株式会社奥村組,1833,奥村組
株式会社佐藤渡辺,1807,佐藤渡辺
株式会社東京エネシス,1945,東京エネシス
栗田工業株式会社,6370,栗田工業
五洋建設株式会社,1893,五洋建設
清水建設株式会社,1803,清水建設
住友林業株式会社,1911,住友林業
世紀東急工業株式会社,1898,世紀東急工業
積水ハウス株式会社,1928,積水ハウス
大成建設株式会社,1801,大成建設
大東建託株式会社,1878,大東建託
大和ハウス工業株式会社,1925,大和ハウス工業
高砂熱学工業株式会社,1969,高砂熱学工業
千代田化工建設株式会社,6366,千代田化工建設
東亜建設工業株式会社,1885,東亜建設工業
東急建設株式会社,1720,東急建設
東洋エンジニアリング株式会社,6330,東洋エンジニアリング
東洋建設株式会社,1890,東洋建設
戸田建設株式会社,1860,戸田建設
日揮ホールディングス株式会社,1963,日揮ホールディングス
三井住友建設株式会社,1821,三井住友建設
小田急電鉄株式会社,9007,小田急電鉄
株式会社商船三井,9104,商船三井
株式会社　上組,9364,上組
川崎汽船株式会社,9107,川崎汽船
九州旅客鉄道株式会社,9142,九州旅客鉄道
センコーグループホールディングス株式会社,9069,センコーグループホールディングス
東急株式会社,9005,東急
南海電気鉄道株式会社,9044,南海電気鉄道
西日本鉄道株式会社,9031,西日本鉄道
西日本旅客鉄道株式会社,9021,西日本旅客鉄道
日本航空株式会社,9201,日本航空
日本郵政株式会社,6178,日本郵政
日本郵船株式会社,9101,日本郵船
阪急阪神ホールディングス株式会社,9042,阪急阪神ホールディングス
東日本旅客鉄道株式会社,9020,東日本旅客鉄道
ヤマトホールディングス株式会社,9064,ヤマトホールディングス
いちご株式会社,2337,いちご
東急不動産ホールディングス株式会社,3289,東急不動産ホールディングス
三井不動産株式会社,8801,三井不動産
三菱地所株式会社,8802,三菱地所
芙蓉総合リース株式会社,8424,芙蓉総合リース
株式会社バンダイナムコホールディングス,7832,バンダイナムコホールディングス
石油資源開発株式会社,1662,石油資源開発
