company_name,ticker,company_name_norm,is_gx
リバーエレテック,6666,リバーエレテック,0
アドテック　プラズマ　テクノロジー,6668,アドテック プラズマ テクノロジー,0
ＭＣＪ,6670,ＭＣＪ,0
ジーエス・ユアサ　コーポレーション,6674,ジーエス・ユアサ コーポレーション,0
サクサ,6675,サクサ,0
ＢＵＦＦＡＬＯ,6676,ＢＵＦＦＡＬＯ,0
エスケーエレクトロニクス,6677,エスケーエレクトロニクス,0
テクノメディカ,6678,テクノメディカ,0
ズーム,6694,ズーム,0
キャストリコ,6695,キャストリコ,0
トラース・オン・プロダクト,6696,トラース・オン・プロダクト,0
ダイヤモンドエレクトリックホールディングス,6699,ダイヤモンドエレクトリックホールディングス,0
日本電気,6701,日本電気,1
富士通,6702,富士通,1
沖電気工業,6703,沖電気工業,0
電気興業,6706,電気興業,0
サンケン電気,6707,サンケン電気,0
アイホン,6718,アイホン,0
ウインテスト,6721,ウインテスト,0
ルネサスエレクトロニクス,6723,ルネサスエレクトロニクス,0
セイコーエプソン,6724,セイコーエプソン,0
ワコム,6727,ワコム,0
アルバック,6728,アルバック,0
アクセル,6730,アクセル,0
ピクセラ,6731,ピクセラ,0
ニューテック,6734,ニューテック,0
サン電子,6736,サン電子,0
ＥＩＺＯ,6737,ＥＩＺＯ,0
ジャパンディスプレイ,6740,ジャパンディスプレイ,0
日本信号,6741,日本信号,0
京三製作所,6742,京三製作所,0
大同信号,6743,大同信号,0
能美防災,6744,能美防災,0
ホーチキ,6745,ホーチキ,0
星和電機,6748,星和電機,0
エレコム,6750,エレコム,0
パナソニック　ホールディングス,6752,パナソニック ホールディングス,1
シャープ,6753,シャープ,1
アンリツ,6754,アンリツ,0
ＯＳＧコーポレーション,6757,ＯＳＧコーポレーション,0
ソニーグループ,6758,ソニーグループ,0
ＴＤＫ,6762,ＴＤＫ,0
帝国通信工業,6763,帝国通信工業,0
タムラ製作所,6768,タムラ製作所,0
ザインエレクトロニクス,6769,ザインエレクトロニクス,0
アルプスアルパイン,6770,アルプスアルパイン,0
池上通信機,6771,池上通信機,0
東京コスモス電機,6772,東京コスモス電機,0
ＴＢグループ,6775,ＴＢグループ,0
天昇電気工業,6776,天昇電気工業,0
ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,6777,ｓａｎｔｅｃ Ｈｏｌｄｉｎｇｓ,0
アルチザネットワークス,6778,アルチザネットワークス,0
日本電波工業,6779,日本電波工業,0
鈴木,6785,鈴木,0
ＲＶＨ,6786,ＲＶＨ,0
メイコー,6787,メイコー,0
日本トリム,6788,日本トリム,0
フォスター電機,6794,フォスター電機,0
名古屋電機工業,6797,名古屋電機工業,0
ＳＭＫ,6798,ＳＭＫ,0
ヨコオ,6800,ヨコオ,0
