ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
1593,MAXIS JPX-Nikkei Index 400 ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISJPX-NIKKEIINDEX400ETF,1,ETF keyword (long name),cache
1595,NZAM ETF J-REIT Index,NORINCHUKIN ZENKYOREN AM CO LTD,NZAMETFJ-REITINDEX,1,ETF keyword (long name),cache
1596,NZAM ETF TOPIX Ex-Financials,NORINCHUKIN ZENKYOREN AM CO LTD,NZAMETFTOPIXEX-FINANCIALS,1,ETF keyword (long name),cache
1597,MAXIS J-REIT ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISJ-REITETF,1,ETF keyword (long name),cache
1599,Daiwa ETF JPX-Nikkei 400,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFJPX-NIKKEI400,1,ETF keyword (long name),cache
159A,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSJPXPRIME150INDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1605,Inpex Corporation,INPEX CORPORATION,INPEX,0,,cache
160A,,AS PARTNERS CO  LTD,ASPARTNERS,0,,cache
1615,NEXT FUNDS TOPIX Banks Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIXBANKSEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1617,NEXT FUNDS TOPIX-17 FOODS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17FOODSETF,1,ETF keyword (long name),cache
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17ENERGYRESOURCESETF,1,ETF keyword (long name),cache
1619,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17CONSTRUCTIONMATERIALSETF,1,ETF keyword (long name),cache
161A,"Mitsuba Co.,Ltd.","161A.T,0P0001SJ1A,0","MITSUBACO.,LTD.",0,,cache
1620,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17RAWMATERIALSCHEMICALSETF,1,ETF keyword (long name),cache
1621,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17PHARMACEUTICALETF,1,ETF keyword (long name),cache
1622,NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17AUTOMOBILESTRANSPORTATIONEQUIPMENTETF,1,ETF keyword (long name),cache
1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTOPIX-17STEELNONFERROUSETF,1,ETF keyword (long name),cache
