company_name,ticker,company_name_norm
コンフィデンス・インターワークス,7374,コンフィデンス・インターワークス
リファインバースグループ,7375,リファインバースグループ
ＢＣＣ,7376,ＢＣＣ
ＤＮホールディングス,7377,ＤＮホールディングス
アシロ,7378,アシロ
十六フィナンシャルグループ,7380,十六フィナンシャルグループ
ＣＣＩグループ,7381,ＣＣＩグループ
ネットプロテクションズホールディングス,7383,ネットプロテクションズホールディングス
プロクレアホールディングス,7384,プロクレアホールディングス
ＦＰパートナー,7388,ＦＰパートナー
あいちフィナンシャルグループ,7389,あいちフィナンシャルグループ
ナンシン,7399,ナンシン
ＡｅｒｏＥｄｇｅ,7409,ＡｅｒｏＥｄｇｅ
アトム,7412,アトム
創健社,7413,創健社
小野建,7414,小野建
はるやまホールディングス,7416,はるやまホールディングス
南陽,7417,南陽
ノジマ,7419,ノジマ
佐鳥電機,7420,佐鳥電機
カッパ・クリエイト,7421,カッパ・クリエイト
東邦レマック,7422,東邦レマック
初穂商事,7425,初穂商事
山大,7426,山大
エコートレーディング,7427,エコートレーディング
伯東,7433,伯東
オータケ,7434,オータケ
ナ・デックス,7435,ナ・デックス
コンドーテック,7438,コンドーテック
中山福,7442,中山福
横浜魚類,7443,横浜魚類
ハリマ共和物産,7444,ハリマ共和物産
ライトオン,7445,ライトオン
東北化学薬品,7446,東北化学薬品
ナガイレーベン,7447,ナガイレーベン
サンデー,7450,サンデー
良品計画,7453,良品計画
パリミキホールディングス,7455,パリミキホールディングス
松田産業,7456,松田産業
第一興商,7458,第一興商
メディパルホールディングス,7459,メディパルホールディングス
ヤギ,7460,ヤギ
キムラ,7461,キムラ
ＣＡＰＩＴＡ,7462,ＣＡＰＩＴＡ
アドヴァングループ,7463,アドヴァングループ
セフテック,7464,セフテック
ＳＰＫ,7466,ＳＰＫ
萩原電気ホールディングス,7467,萩原電気ホールディングス
鳥羽洋行,7472,鳥羽洋行
アルビス,7475,アルビス
アズワン,7476,アズワン
ムラキ,7477,ムラキ
スズデン,7480,スズデン
尾家産業,7481,尾家産業
シモジマ,7482,シモジマ
ドウシシャ,7483,ドウシシャ
サンリン,7486,サンリン
小津産業,7487,小津産業
日新商事,7490,日新商事
コナカ,7494,コナカ
西川計測,7500,西川計測
ティムコ,7501,ティムコ
プラザホールディングス,7502,プラザホールディングス
高速,7504,高速
扶桑電通,7505,扶桑電通
ハウス　オブ　ローゼ,7506,ハウス オブ ローゼ
Ｇ‐７ホールディングス,7508,Ｇ‐７ホールディングス
アイエーグループ,7509,アイエーグループ
たけびし,7510,たけびし
イオン北海道,7512,イオン北海道
コジマ,7513,コジマ
ヒマラヤ,7514,ヒマラヤ
マルヨシセンター,7515,マルヨシセンター
コーナン商事,7516,コーナン商事
エコス,7520,エコス
ムサシ,7521,ムサシ
ワタミ,7522,ワタミ
アールビバン,7523,アールビバン
マルシェ,7524,マルシェ
リックス,7525,リックス
システムソフト,7527,システムソフト
清和中央ホールディングス,7531,清和中央ホールディングス
パン・パシフィック・インターナショナルホールディングス,7532,パン・パシフィック・インターナショナルホールディングス
丸文,7537,丸文
大水,7538,大水
アイナボホールディングス,7539,アイナボホールディングス
スリーエフ,7544,スリーエフ
西松屋チェーン,7545,西松屋チェーン
ゼンショーホールディングス,7550,ゼンショーホールディングス
ゼンショーホールディングス第１回社債型種類株式,75505,ゼンショーホールディングス第１回社債型種類株式
ウェッズ,7551,ウェッズ
ハピネット,7552,ハピネット
幸楽苑,7554,幸楽苑
大田花き,7555,大田花き
ハークスレイ,7561,ハークスレイ
安楽亭,7562,安楽亭
ワークマン,7564,ワークマン
萬世電機,7565,萬世電機
栄電子,7567,栄電子
橋本総業ホールディングス,7570,橋本総業ホールディングス
ヤマノホールディングス,7571,ヤマノホールディングス
日本ライフライン,7575,日本ライフライン
ニチリョク,7578,ニチリョク
サイゼリヤ,7581,サイゼリヤ
かんなん丸,7585,かんなん丸
タカショー,7590,タカショー
ＶＴホールディングス,7593,ＶＴホールディングス
アルゴグラフィックス,7595,アルゴグラフィックス
魚力,7596,魚力
ＩＤＯＭ,7599,ＩＤＯＭ
日本エム・ディ・エム,7600,日本エム・ディ・エム
ポプラ,7601,ポプラ
レダックス,7602,レダックス
ジーイエット,7603,ジーイエット
梅の花グループ,7604,梅の花グループ
ユナイテッドアローズ,7606,ユナイテッドアローズ
進和,7607,進和
エスケイジャパン,7608,エスケイジャパン
ダイトロン,7609,ダイトロン
テイツー,7610,テイツー
ハイデイ日高,7611,ハイデイ日高
シークス,7613,シークス
オーエムツーネットワーク,7614,オーエムツーネットワーク
京都きもの友禅ホールディングス,7615,京都きもの友禅ホールディングス
コロワイド,7616,コロワイド
田中商事,7619,田中商事
うかい,7621,うかい
ＮａＩＴＯ,7624,ＮａＩＴＯ
グローバルダイニング,7625,グローバルダイニング
オーハシテクニカ,7628,オーハシテクニカ
壱番屋,7630,壱番屋
星医療酸器,7634,星医療酸器
杉田エース,7635,杉田エース
ハンズマン,7636,ハンズマン
白銅,7637,白銅
ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,7638,ＮＥＷ ＡＲＴ ＨＯＬＤＩＮＧＳ
トップカルチャー,7640,トップカルチャー
ダイイチ,7643,ダイイチ
ＰＬＡＮＴ,7646,ＰＬＡＮＴ
スギホールディングス,7649,スギホールディングス
オーウエル,7670,オーウエル
ダイコー通産,7673,ダイコー通産
ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,7674,ＮＡＴＴＹ ＳＷＡＮＫＹホールディングス
