gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
四国化成ホールディングス株式会社,4099,四国化成ホールディングス,四国化成ホールディングス,四国化成ホールディングス株式会社,化学工業,2.0
シャープ株式会社,6753,シャープ,シャープ,シャープ株式会社,電子部品・デバイス・電子回路製造業,1.0
シライ電子工業株式会社,6658,シライ電子工業,シライ電子工業,シライ電子工業株式会社,電子部品・デバイス・電子回路製造業,1.0
新日本電工株式会社,5563,新日本電工,新日本電工,新日本電工株式会社,鉄鋼業,2.0
シンフォニアテクノロジー株式会社,6507,シンフォニアテクノロジー,シンフォニアテクノロジー,シンフォニアテクノロジー株式会社,電気機械器具製造業,1.0
スズキ株式会社,7269,スズキ,スズキ,スズキ株式会社,輸送用機械器具製造業,1.0
住友大阪セメント株式会社,5232,住友大阪セメント,住友大阪セメント,住友大阪セメント株式会社,窯業・土石製品製造業,2.0
住友化学株式会社,4005,住友化学,住友化学,住友化学株式会社,化学工業,2.0
住友金属鉱山株式会社,5713,住友金属鉱山,住友金属鉱山,住友金属鉱山株式会社,非鉄金属製造業,2.0
住友ゴム工業株式会社,5110,住友ゴム工業,住友ゴム工業,住友ゴム工業株式会社,ゴム製品製造業,2.0
住友精化株式会社,4008,住友精化,住友精化,住友精化株式会社,化学工業,2.0
住友電気工業株式会社,5802,住友電気工業,住友電気工業,住友電気工業株式会社,非鉄金属製造業,2.0
住友ベークライト株式会社,4203,住友ベークライト,住友ベークライト,住友ベークライト株式会社,化学工業,2.0
積水化学工業株式会社,4204,積水化学工業,積水化学工業,積水化学工業株式会社,化学工業,2.0
セントラル硝子株式会社,4044,セントラル硝子,セントラル硝子,セントラル硝子株式会社,化学工業,2.0
第一稀元素化学工業株式会社,4082,第一稀元素化学工業,第一稀元素化学工業,第一稀元素化学工業株式会社,化学工業,2.0
第一三共株式会社,4568,第一三共,第一三共,第一三共株式会社,化学工業,2.0
大王製紙株式会社,3880,大王製紙,大王製紙,大王製紙株式会社,パルプ・紙・紙加工品製造業,1.0
ダイキン工業株式会社,6367,ダイキン工業,ダイキン工業,ダイキン工業株式会社,はん用、生産用、業務用機械器具製造業,1.0
大同特殊鋼株式会社,5471,大同特殊鋼,大同特殊鋼,大同特殊鋼株式会社,鉄鋼業,2.0
大日本印刷株式会社,7912,大日本印刷,大日本印刷,大日本印刷株式会社,印刷・同関連業,1.0
太平洋セメント株式会社,5233,太平洋セメント,太平洋セメント,太平洋セメント株式会社,窯業・土石製品製造業,2.0
中越パルプ工業株式会社,3877,中越パルプ工業,中越パルプ工業,中越パルプ工業株式会社,パルプ・紙・紙加工品製造業,1.0
中部鋼鈑株式会社,5461,中部鋼鈑,中部鋼鈑,中部鋼鈑株式会社,鉄鋼業,2.0
帝人株式会社,3401,帝人,帝人,帝人株式会社,化学工業,2.0
デンカ株式会社,4061,デンカ,デンカ,デンカ株式会社,化学工業,2.0
東亞合成株式会社,4045,東亞合成,東亞合成,東亞合成株式会社,化学工業,2.0
