ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy
4046,4046.T,株式会社大阪ソーダ,大阪ソーダ,2.0,化学工業,株式会社大阪ソーダ,2025-03-31,2025-03-31,2025-03-31,96434000000.0,28946000000.0,13246000000.0,14646000000.0,10332000000.0,153935000000.0,,115589000000.0,8310000000.0,,,9488000000.0,266775674880.0,2149.0,124139450.0,22.193535,2.2148018,2.7664068158533297,0.10714063504573076,0.1373581931683846,0.08938566818641912,0.06711923863968558,0.07189265414529064,0.0198504605687575,0.35058823529411764
5726,5726.T,株式会社大阪チタニウムテクノロジーズ,大阪チタニウムテクノロジーズ,2.0,非鉄金属製造業,株式会社大阪チタニウムテクノロジーズ,2025-03-31,2025-03-31,2025-03-31,51914000000.0,16130000000.0,10095000000.0,7875000000.0,7090000000.0,100925000000.0,,42838000000.0,43700000000.0,,,-57000000.0,66126794752.0,1797.0,36798441.0,10.868514,1.4882357,1.2737757589860152,0.13657202296105098,0.19445621604962052,0.16550725990942622,0.07025018578152094,1.0201223213035155,-0.06160297892339395,-0.26824233667045105
6521,6521.T,株式会社オキサイド,オキサイド,1.0,電気機械器具製造業,株式会社オキサイド,2025-02-28,2025-02-28,2025-02-28,8394851000.0,3260505000.0,126321000.0,-2833697000.0,-2703613000.0,18206085000.0,,5412881000.0,10369234000.0,,,-823745000.0,16408298496.0,1420.0,11555140.0,30.669546,3.1052573,1.954566971587703,-0.3220561031994493,0.015047438006940207,-0.4994776349230659,-0.14850051507504222,1.9156589623898992,0.27060451577378686,5.402069130458463
4118,4118.T,株式会社カネカ,カネカ,2.0,化学工業,株式会社カネカ,2025-03-31,2025-03-31,2025-03-31,807200000000.0,225644000000.0,40050000000.0,36770000000.0,25309000000.0,920143000000.0,,471934000000.0,223058000000.0,,,-14729000000.0,266184572928.0,4360.0,61051507.0,10.492624,0.5642468,0.32976285050545096,0.03135406342913776,0.04961595639246779,0.0536282615789496,0.027505507296148535,0.47264659888882765,0.058897917098472696,0.08996554694229109
6326,6326.T,株式会社クボタ,クボタ,1.0,はん用、生産用、業務用機械器具製造業,株式会社クボタ,2024-12-31,2024-12-31,2024-12-31,3016281000000.0,927980000000.0,315636000000.0,335297000000.0,230437000000.0,6018665000000.0,,2477314000000.0,2278077000000.0,,,68087000000.0,2599898841088.0,2286.5,1137064774.0,15.264705,1.0531678,0.8619551166114828,0.07639772289120278,0.10464409648835768,0.09301889062105168,0.03828706199796799,0.9195753949640619,-0.0014665421485207109,-0.033624792937870907
3405,3405.T,株式会社クラレ,クラレ,2.0,化学工業,株式会社クラレ,2024-12-31,2024-12-31,2024-12-31,826895000000.0,267520000000.0,85081000000.0,53176000000.0,31724000000.0,1291238000000.0,,764279000000.0,244282000000.0,,,62515000000.0,484968660992.0,1579.5,307039359.0,32.506687,0.6681359,0.5864936430768114,0.038365209609442556,0.10289214471002969,0.0415084020364291,0.024568669757240726,0.31962411632401255,0.05884846172167313,-0.2526033077321773
5406,5406.T,株式会社神戸製鋼所,神戸製鋼所,2.0,鉄鋼業,株式会社神戸製鋼所,2025-03-31,2025-03-31,2025-03-31,2555031000000.0,423218000000.0,158723000000.0,141091000000.0,120180000000.0,2891053000000.0,,1161796000000.0,886331000000.0,,,34995000000.0,794155417600.0,2018.0,393535878.0,6.2893476,0.67187274,0.3108202669948036,0.04703661129747545,0.062121751164662974,0.10344328952759349,0.04156962878231565,0.7628972728430808,0.004674925741464664,0.09701329049218632
7946,7946.T,株式会社光陽社,光陽社,1.0,印刷・同関連業,株式会社光陽社,2025-03-31,2025-03-31,2025-03-31,4726835000.0,1014004000.0,60476000.0,103944000.0,60694000.0,3181929000.0,,1788952000.0,433510000.0,,,-82050000.0,980315008.0,1850.0,529900.0,23.394032,0.55447674,0.20739353245882286,0.012840304347412169,0.012794184692294104,0.033927126049217646,0.019074592802039266,0.24232623345958976,0.05174044978770875,-0.5855876770132051
5915,5915.T,株式会社駒井ハルテック,駒井ハルテック,1.0,金属製品製造業,株式会社駒井ハルテック,2025-03-31,2025-03-31,2025-03-31,40553000000.0,4252000000.0,288000000.0,2015000000.0,1274000000.0,69324000000.0,,31825000000.0,19354000000.0,,,8184000000.0,8293836288.0,1810.0,4582230.0,5.2763524,0.25716868,0.2045184397701773,0.03141567824821838,0.00710181737479348,0.04003142183817753,0.01837747389071606,0.6081382560879811,-0.26778491983244257,1.0384000000000002
5909,5909.T,株式会社コロナ,コロナ,1.0,金属製品製造業,株式会社コロナ,2025-03-31,2025-03-31,2025-03-31,85214000000.0,18391000000.0,1344000000.0,1701000000.0,1103000000.0,102226000000.0,,76280000000.0,,,,-1781000000.0,28391057408.0,972.0,29208906.0,40.365448,0.37363273,0.33317362649329924,0.012943882460628536,0.01577205623489098,0.014459884635553226,0.010789818637137323,,0.03861248567876552,-0.15543644716692195
6473,6473.T,株式会社ジェイテクト,ジェイテクト,1.0,輸送用機械器具製造業,株式会社ジェイテクト,2025-03-31,2025-03-31,2024-03-31,1884397000000.0,281291000000.0,38453000000.0,30876000000.0,13713000000.0,1565391000000.0,,745044000000.0,240474000000.0,,,73013000000.0,561379737600.0,1763.5,318332714.0,29.201855,0.7494337,0.2979094838295752,0.007277128970169237,0.02040599725004869,0.018405624365809267,0.008760111690944946,0.32276482999661765,-0.003757327502347363,-0.6593635889410537
