rank,entity_id,core_yes,core_den,structure_coverage,impl_strength,transparency_strength,supplychain_strength,transition_strength,innovation_strength,regulation_strength,company_key,notion__rank,notion__company_name,notion__sbti_joined,notion__scope12_disclosure,notion__scope3_disclosure,notion__icp_status,notion__voluntary_credit_usage,notion__cdp_climate_score,notion__jplatpat_patent_count,notion__survey_answered,notion_matched,patent__company_name,patent__source_files,patent__asof,patent__doc_count_total,patent__apps_count_5y,patent__grant_count,patent__grant_rate,patent__valid_patent_count,patent__valid_patent_rate,patent__maintenance_event_count,patent__maintenance_event_rate,patent__coapp_count,patent__coapp_rate,patent__fi_unique_count,patent_matched,notion__sbti_joined_num,notion__scope12_disclosure_num,notion__scope3_disclosure_num,notion__icp_status_num,notion__voluntary_credit_usage_num,notion__survey_answered_num,phase3_core_ratio,structure_coverage_norm,impl_strength_norm,transparency_strength_norm,supplychain_strength_norm,transition_strength_norm,innovation_strength_norm,regulation_strength_norm,phase3_score,notion_score,patent_score,credibility_score,mcda_A,mcda_B,mcda_C,final_score,final_rank,final_top20_flag
21,長瀬産業,11,27,6,3,3,1,2,1,1,長瀬産業,5.0,長瀬産業株式会社,はい,両方,はい,検討中,なし,2.0,172.0,いいえ,True,長瀬産業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/長瀬産業_国内文献.csv,2026-01-06,172.0,30.0,172.0,1.0,172.0,1.0,97.0,0.563953488372093,116.0,0.6744186046511628,790.0,True,1,1,1,0.5,0,0,0.4074074074074074,0.8,0.42857142857142855,0.75,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.4983068783068783,0.7,0.8825276427126696,1.0,0.5789841269841269,0.8825276427126696,1.0,0.7694275320922914,7,True
22,マブチモーター,11,27,6,3,1,1,2,2,2,マブチモーター,11.0,マブチモーター株式会社,はい,両方,はい,はい,なし,1.0,116.0,いいえ,True,マブチモーター,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/マブチモーター_国内文献.csv,2026-01-06,116.0,27.0,116.0,1.0,116.0,1.0,65.0,0.5603448275862069,10.0,0.0862068965517241,207.0,True,1,1,1,1,0,0,0.4074074074074074,0.8,0.42857142857142855,0.25,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.464973544973545,0.8,0.8301068616322027,1.0,0.5989841269841271,0.8301068616322027,1.0,0.7600802587141282,9,True
23,三井物産,11,27,5,6,1,2,2,0,0,三井物産,26.0,三井物産株式会社,いいえ,,はい,はい,なし,4.0,12.0,いいえ,True,三井物産,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/三井物産.csv,2026-01-06,12.0,3.0,12.0,1.0,12.0,1.0,9.0,0.75,10.0,0.8333333333333334,87.0,True,0,,1,1,0,0,0.4074074074074074,0.6,0.8571428571428571,0.25,0.6666666666666666,0.5,0.0,0.0,0.5206878306878306,0.5,0.6487449261762205,1.0,0.5124126984126984,0.6487449261762205,1.0,0.6576464384473915,13,True
24,九州旅客鉄道,11,27,5,5,3,1,2,0,0,九州旅客鉄道,29.0,九州旅客鉄道株式会社(JR九州),いいえ,両方,いいえ,いいえ,なし,0.0,35.0,いいえ,True,九州旅客鉄道,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/九州旅客鉄道.csv,2026-01-06,35.0,1.0,35.0,1.0,35.0,1.0,24.0,0.6857142857142857,32.0,0.9142857142857144,126.0,True,0,1,0,0,0,0,0.4074074074074074,0.6,0.7142857142857143,0.75,0.3333333333333333,0.5,0.0,0.0,0.5087830687830688,0.2,0.6283058756381015,1.0,0.38526984126984126,0.6283058756381015,1.0,0.5932784850447641,19,True
25,大成建設_removed,10,27,7,4,2,1,1,1,1,大成建設,35.0,大成建設株式会社,はい,両方,はい,はい,なし,4.0,14019.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,1,0,0,0.37037037037037035,1.0,0.5714285714285714,0.5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.49391534391534386,0.8,0.0,0.5,0.6163492063492064,0.0,0.5,0.37735714285714295,32,False
26,住友林業,10,27,6,5,1,1,2,0,1,住友林業,23.0,住友林業株式会社,はい,両方,はい,はい,主体的利用,4.0,244.0,いいえ,True,住友林業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/住友林業.csv,2026-01-06,244.0,3.0,243.0,0.9959016393442623,244.0,1.0,211.0,0.8647540983606558,127.0,0.5204918032786885,487.0,True,1,1,1,1,1,0,0.37037037037037035,0.8,0.7142857142857143,0.25,0.3333333333333333,0.5,0.0,0.3333333333333333,0.47582010582010587,1.0,0.7636357584265903,1.0,0.6854920634920636,0.7636357584265903,1.0,0.7757439440207352,6,True
27,商船三井,10,27,6,4,3,1,1,1,0,商船三井,17.0,株式会社　商船三井,いいえ,両方,はい,いいえ,なし,4.0,51.0,いいえ,True,商船三井,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/商船三井_国内文献.csv,2026-01-06,51.0,5.0,51.0,1.0,51.0,1.0,35.0,0.6862745098039216,37.0,0.7254901960784313,211.0,True,0,1,1,0,0,0,0.37037037037037035,0.8,0.5714285714285714,0.75,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4889153439153439,0.4,0.7227458110961474,1.0,0.4533492063492064,0.7227458110961474,1.0,0.6569681767407944,14,True
28,川崎汽船,9,27,6,3,2,1,2,1,0,川崎汽船,40.0,川崎汽船株式会社,はい,両方,はい,はい,主体的利用,1.0,4.0,いいえ,True,川崎汽船,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/川崎汽船.csv,2026-01-06,4.0,1.0,4.0,1.0,4.0,1.0,3.0,0.75,0.0,0.0,10.0,True,1,1,1,1,1,0,0.3333333333333333,0.8,0.42857142857142855,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,0.4473809523809524,1.0,0.5253466970934719,1.0,0.6684285714285714,0.5253466970934719,1.0,0.6846642011255724,10,True
29,阪和興業,9,27,6,3,1,2,2,1,0,阪和興業,4.0,阪和興業株式会社,いいえ,両方,はい,いいえ,なし,0.0,14.0,いいえ,True,阪和興業,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/阪和興業_国内文献.csv,2026-01-06,14.0,5.0,14.0,1.0,14.0,1.0,7.0,0.5,10.0,0.7142857142857143,40.0,True,0,1,1,0,0,0,0.3333333333333333,0.8,0.42857142857142855,0.25,0.6666666666666666,0.5,0.3333333333333333,0.0,0.45571428571428574,0.4,0.6368790274913902,1.0,0.43342857142857144,0.6368790274913902,1.0,0.6179505167648438,18,True
30,ダイヘン,8,27,6,2,1,1,3,1,0,ダイヘン,36.0,株式会社ダイヘン,いいえ,両方,はい,いいえ,なし,0.0,5082.0,いいえ,True,,,,,,,,,,,,,,,False,0,1,1,0,0,0,0.2962962962962963,0.8,0.2857142857142857,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.4058465608465608,0.4,0.0,0.5,0.4035079365079365,0.0,0.5,0.28157857142857146,34,False
31,丸紅,7,27,5,3,1,2,1,0,0,丸紅,22.0,丸紅株式会社,いいえ,両方,はい,はい,補完的利用,4.0,13.0,いいえ,True,丸紅,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/丸紅.csv,2026-01-06,13.0,5.0,13.0,1.0,13.0,1.0,4.0,0.3076923076923077,6.0,0.4615384615384615,33.0,True,0,1,1,1,0.5,0,0.25925925925925924,0.6,0.42857142857142855,0.25,0.6666666666666666,0.0,0.0,0.0,0.3581216931216931,0.7,0.6148501084272865,1.0,0.4948730158730158,0.6148501084272865,1.0,0.6378903950924073,17,True
32,大東建託,7,27,4,2,2,1,2,0,0,大東建託,18.0,大東建託株式会社,いいえ,両方,はい,いいえ,主体的利用,1.0,41.0,いいえ,True,大東建託,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/大東建託_国内文献.csv,2026-01-06,41.0,5.0,41.0,1.0,41.0,1.0,27.0,0.6585365853658537,29.0,0.7073170731707317,124.0,True,0,1,1,0,1,0,0.25925925925925924,0.4,0.2857142857142857,0.5,0.3333333333333333,0.5,0.0,0.0,0.31621693121693123,0.6,0.7014031038753987,1.0,0.42973015873015874,0.7014031038753987,1.0,0.638869657784961,16,True
33,静岡ガス,7,27,4,1,2,2,2,0,0,静岡ガス,7.0,静岡ガス株式会社,いいえ,両方,いいえ,いいえ,補完的利用,0.0,1.0,いいえ,True,静岡ガス,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/静岡ガス_国内文献.csv,2026-01-06,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,True,0,1,0,0,0.5,0,0.25925925925925924,0.4,0.14285714285714285,0.5,0.6666666666666666,0.5,0.0,0.0,0.320978835978836,0.3,0.5086391992222109,1.0,0.3125873015873016,0.5086391992222109,1.0,0.5186880054420595,23,False
34,酉島製作所（サステナビリティ）,5,27,4,0,1,2,1,0,1,酉島製作所,10.0,株式会社酉島製作所,いいえ,いいえ,いいえ,検討中,なし,0.0,115.0,いいえ,True,酉島製作所,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/酉島製作所_国内文献.csv,2026-01-06,115.0,7.0,115.0,1.0,115.0,1.0,88.0,0.7652173913043478,1.0,0.008695652173913,190.0,True,0,0,0,0.5,0,0,0.18518518518518517,0.4,0.0,0.25,0.6666666666666666,0.0,0.0,0.3333333333333333,0.2164814814814815,0.1,0.7610683004303505,1.0,0.1698888888888889,0.7610683004303505,1.0,0.5428239051506227,22,False
35,シンフォニアテクノロジー,2,27,2,0,0,0,1,1,0,シンフォニアテクノロジー,39.0,シンフォニアテクノロジー株式会社,いいえ,両方,いいえ,いいえ,なし,1.0,538.0,いいえ,True,シンフォニアテクノロジー,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/シンフォニアテクノロジー/シンフォニアテクノロジー①.csv|/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/シンフォニアテクノロジー/シンフォニアテクノロジー②.csv,2026-01-06,538.0,17.0,535.0,0.9944237918215614,538.0,1.0,386.0,0.7174721189591078,54.0,0.1003717472118959,930.0,True,0,1,0,0,0,0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.042592592592592585,0.2,0.884880513914863,1.0,0.10555555555555557,0.884880513914863,1.0,0.557208179870202,21,False
