row_index,ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy,exclude_reason,equity_ratio,free_cf_margin,operating_cf_margin,s_op_margin,s_net_margin,s_roe,s_revenue_yoy,s_net_income_yoy,s_debt_to_equity,s_equity_ratio,s_roa,s_free_cf_margin,s_operating_cf_margin,s_pe,s_pb,s_ps,missing_score_items,score_profitability,score_growth,score_balance,score_cashflow,score_valuation,score_raw,missing_penalty,score_final,top_strengths,_screen_name_raw,_screen_key,env_match_status,env_matched_key,env_matched_name_raw,env_spEmitCode,env_match_score,env_candidate_count,top_candidates
177,5711,5711.T,三菱マテリアル株式会社,三菱マテリアル,2.0,非鉄金属製造業,三菱マテリアル株式会社,2025-03-31,2025-03-31,2025-03-31,1962076000000.0,166645000000.0,37119000000.0,49963000000.0,34076000000.0,2375345000000.0,,677248000000.0,593098000000.0,,,-1400000000.0,444970041344.0,3405.0,130681358.0,29.886772,0.65933883,0.2267853239854113,0.0173673191048664,0.0189182274284992,0.050315394065394,0.0143457055711907,0.8757471413721414,0.273544405514065,0.1437586010136609,,0.2851156358339525,-0.0007135299550068,,9.956709956709958,16.450216450216452,24.67532467532467,97.83549783549785,68.83116883116884,23.809523809523817,9.090909090909092,12.987012987012983,28.57142857142857,50.0,10.917030567685591,81.30434782608695,88.74458874458875,1,17.027417027417027,83.33333333333334,15.295815295815297,39.285714285714285,60.32198904612043,39.775210333830046,2.0,37.775210333830046,"growth=83.3,valuation=60.3",三菱マテリアル株式会社,三菱マテリアル,EXACT,三菱マテリアル,三菱マテリアル株式会社,985793701,1.0,1.0,"[{""env_key"": ""三菱マテリアル"", ""score"": 1.0}]"
178,7211,7211.T,三菱自動車工業株式会社,三菱自動車工業,1.0,輸送用機械器具製造業,三菱自動車工業株式会社,2025-03-31,2025-03-31,2025-03-31,2788232000000.0,536703000000.0,138831000000.0,87265000000.0,40987000000.0,2245920000000.0,,934407000000.0,314789000000.0,,,63559000000.0,501882322944.0,375.0,1338352915.0,4.1091385,0.5785332,0.1800002018999853,0.0146999962700377,0.0497917676864765,0.0438641833804755,0.0182495369380921,0.3368863889076173,-0.0004864515883881,-0.7350703578977306,,0.4160464308612951,0.0227954488722602,,35.064935064935064,12.987012987012983,19.913419913419915,21.21212121212121,9.956709956709958,59.307359307359306,38.961038961038966,17.316017316017316,45.45454545454545,50.0,96.94323144104804,87.3913043478261,92.64069264069263,1,22.655122655122653,15.584415584415584,38.52813852813853,47.72727272727273,92.32507614318892,38.62689994961687,2.0,36.62689994961687,"valuation=92.3,cashflow=47.7",三菱自動車工業株式会社,三菱自動車工業,EXACT,三菱自動車工業,三菱自動車工業株式会社,985794057,1.0,1.0,"[{""env_key"": ""三菱自動車工業"", ""score"": 1.0}]"
179,3864,3864.T,三菱製紙株式会社,三菱製紙,1.0,パルプ・紙・紙加工品製造業,三菱製紙株式会社,2025-03-31,2025-03-31,2025-03-31,175942000000.0,25162000000.0,4567000000.0,8203000000.0,4343000000.0,208217000000.0,,85254000000.0,72334000000.0,,,2226000000.0,28256823296.0,645.0,43809029.0,8.574847,0.341753,0.1606030583715088,0.0246842709529276,0.0259574177854065,0.0509418912895582,0.0208580471335193,0.8484528585169024,-0.0905604201341865,0.0414868105515586,,0.4094478356714389,0.0126518966477589,,13.852813852813853,25.541125541125545,25.541125541125545,3.0303030303030303,53.67965367965368,25.541125541125545,36.79653679653679,20.346320346320347,37.66233766233766,50.0,83.84279475982532,96.95652173913044,94.37229437229438,1,21.645021645021643,28.354978354978357,27.561327561327563,43.83116883116883,91.72387029041673,38.01002354500551,2.0,36.01002354500551,"valuation=91.7,cashflow=43.8",三菱製紙株式会社,三菱製紙,EXACT,三菱製紙,三菱製紙株式会社,985794709,1.0,1.0,"[{""env_key"": ""三菱製紙"", ""score"": 1.0}]"
183,3401,3401.T,帝人株式会社,帝人,2.0,化学工業,帝人株式会社,2025-03-31,2025-03-31,2025-03-31,1005471000000.0,191452000000.0,-71828000000.0,-78038000000.0,28347000000.0,1061272000000.0,,431377000000.0,387127000000.0,,,8417000000.0,253565992960.0,1314.5,192899201.0,3.6571796,0.66514695,0.2521862818122054,0.0281927574241325,0.0024587540598547,0.0657128219631552,0.0267104003497689,0.8974215129689344,0.0468650926275875,-3.4203381147540983,,0.4064716679607113,0.008371201158462,,0.8658008658008658,29.004329004329005,38.961038961038966,51.51515151515152,2.5974025974025974,23.376623376623375,34.1991341991342,31.601731601731604,33.76623376623377,50.0,97.81659388646288,79.56521739130434,84.84848484848484,1,22.943722943722943,27.056277056277057,29.72582972582973,41.88311688311688,87.41009870875068,37.633520578318375,2.0,35.633520578318375,"valuation=87.4,cashflow=41.9",帝人株式会社,帝人,EXACT,帝人,帝人株式会社,580001341,1.0,1.0,"[{""env_key"": ""帝人"", ""score"": 1.0}]"
184,2678,2678.T,アスクル株式会社,アスクル,1.0,卸売業・小売業,アスクル株式会社,2025-05-31,2025-05-31,2025-05-31,481101000000.0,117538000000.0,14004000000.0,13618000000.0,9068000000.0,227782000000.0,,77787000000.0,36239000000.0,,,-2540000000.0,126608146432.0,1414.0,89539000.0,14.826465,1.8079506,0.2631633408203267,0.0188484330733047,0.0291082329905778,0.1165747489940478,0.0398099937659692,0.4658747605641045,0.0199689621397467,-0.5262030409112284,,0.3414975722401243,-0.0052795566835238,,15.584415584415584,18.614718614718615,77.05627705627705,33.33333333333333,16.017316017316016,46.75324675324675,19.047619047619047,54.97835497835498,25.97402597402597,50.0,46.72489082969432,21.304347826086957,83.54978354978356,1,37.085137085137085,24.67532467532467,40.25974025974026,37.98701298701299,50.526340735188285,37.3895571708843,2.0,35.3895571708843,"valuation=50.5,balance=40.3",アスクル株式会社,アスクル,EXACT,アスクル,アスクル株式会社,987601839,1.0,1.0,"[{""env_key"": ""アスクル"", ""score"": 1.0}]"
185,7951,7951.T,ヤマハ株式会社,ヤマハ,1.0,その他の製造業,ヤマハ株式会社,2025-03-31,2025-03-31,2024-03-31,462080000000.0,176140000000.0,20695000000.0,22462000000.0,13351000000.0,591278000000.0,,448834000000.0,19957000000.0,,,20916000000.0,489345056768.0,1086.0,450593981.0,28.259172,1.070229,1.059005057063712,0.028893265235457,0.044786617036011,0.0297459639866855,0.0225799031927452,0.0444641003132561,-0.0016981156533424,-0.5495917954254099,,0.7590913242163585,0.0452648891966759,,30.303030303030305,29.43722943722944,11.255411255411255,19.913419913419915,14.71861471861472,93.5064935064935,95.67099567099568,22.07792207792208,61.038961038961034,50.0,12.66375545851528,47.82608695652174,26.406926406926413,1,23.665223665223667,17.316017316017316,70.41847041847042,55.51948051948052,28.965589607321142,37.319225165484895,2.0,35.319225165484895,"balance=70.4,cashflow=55.5",ヤマハ株式会社,ヤマハ,EXACT,ヤマハ,ヤマハ株式会社,430015561,1.0,1.0,"[{""env_key"": ""ヤマハ"", ""score"": 1.0}]"
187,3861,3861.T,王子ホールディングス株式会社,王子ホールディングス,1.0,パルプ・紙・紙加工品製造業,王子ホールディングス株式会社,2025-03-31,2025-03-31,2025-03-31,1849264000000.0,349395000000.0,67687000000.0,84359000000.0,46171000000.0,2635030000000.0,,1101822000000.0,903388000000.0,,,-49514000000.0,773689245696.0,852.1,907979457.0,24.669947,0.7525802,0.418376849220014,0.0249672302061793,0.0366021292795404,0.0419042277246234,0.01752200164704,0.8199037594094146,0.0901956530453913,-0.0913366921199716,,0.4181440059505963,-0.0267749764230526,,22.943722943722943,26.40692640692641,17.316017316017316,76.62337662337663,41.55844155844156,26.83982683982684,40.25974025974026,16.883116883116884,16.017316017316016,50.0,15.720524017467252,72.17391304347827,71.86147186147186,1,22.222222222222214,59.09090909090909,27.994227994228,33.00865800865801,53.25196964080579,37.02278823111365,2.0,35.02278823111365,"growth=59.1,valuation=53.3",王子ホールディングス株式会社,王子,EXACT,王子,王子ホールディングス株式会社,985101000,1.0,1.0,"[{""env_key"": ""王子"", ""score"": 1.0}]"
189,4082,4082.T,第一稀元素化学工業株式会社,第一稀元素化学工業,2.0,化学工業,第一稀元素化学工業株式会社,2025-03-31,2025-03-31,2025-03-31,33641000000.0,8352000000.0,2283000000.0,1709000000.0,792000000.0,64754000000.0,,37918000000.0,21263000000.0,,,1873000000.0,26308014080.0,1086.0,24224690.0,20.5293,0.73039633,0.782022356053625,0.023542700870961,0.0678636187984899,0.0208871775937549,0.0122309046545387,0.5607626984545598,-0.0448324815445769,-0.3052631578947368,,0.5855700033974736,0.0556761095092298,,54.54545454545454,24.67532467532467,9.090909090909092,8.658008658008658,24.24242424242424,41.12554112554112,71.86147186147186,11.688311688311687,66.66666666666666,50.0,28.82096069868996,75.21739130434783,42.42424242424242,1,29.437229437229433,16.450216450216452,41.55844155844155,58.33333333333333,48.8208648090934,36.50603015426445,2.0,34.506030154264444,"cashflow=58.3,valuation=48.8",第一稀元素化学工業株式会社,第一稀元素化学工業,EXACT,第一稀元素化学工業,第一稀元素化学工業株式会社,580304671,1.0,1.0,"[{""env_key"": ""第一稀元素化学工業"", ""score"": 1.0}]"
193,5332,5332.T,ＴＯＴＯ株式会社,ＴＯＴＯ,2.0,窯業・土石製品製造業,ＴＯＴＯ株式会社,2025-03-31,2025-03-31,2025-03-31,724454000000.0,254068000000.0,48480000000.0,24331000000.0,12168000000.0,813924000000.0,,522274000000.0,67873000000.0,,,20683000000.0,694479486976.0,4224.0,164412750.0,143.2943409999999,1.4230086,0.958624684211834,0.0167960974747879,0.0669193627200622,0.0232981155485434,0.014949798752709,0.1299566894005828,0.031568425309419,-0.6728680503279922,,0.6416741612238981,0.0285497767974226,,52.38095238095239,15.584415584415584,9.956709956709958,40.25974025974026,11.688311688311687,82.68398268398268,82.25108225108225,14.285714285714285,49.78354978354979,50.0,0.4366812227074246,31.739130434782613,30.73593073593074,1,25.974025974025977,25.974025974025977,59.74025974025974,49.891774891774894,20.970580797806928,35.56441828850221,2.0,33.56441828850221,"balance=59.7,cashflow=49.9",ＴＯＴＯ株式会社,ｔｏｔｏ,EXACT,ｔｏｔｏ,ＴＯＴＯ株式会社,810002001,1.0,1.0,"[{""env_key"": ""ｔｏｔｏ"", ""score"": 1.0}]"
195,3877,3877.T,中越パルプ工業株式会社,中越パルプ工業,1.0,パルプ・紙・紙加工品製造業,中越パルプ工業株式会社,2025-03-31,2025-03-31,2025-03-31,111009000000.0,17098000000.0,4848000000.0,1840000000.0,1761000000.0,121888000000.0,,56885000000.0,37194000000.0,,,4004000000.0,25646266368.0,2041.0,12565540.0,35.781906,0.44093025,0.2310287126989703,0.0158635786287598,0.0436721346917817,0.0309571943394568,0.0144476896823313,0.6538454777182033,0.0295197818707917,-0.524182653336936,,0.4666989367288002,0.0360691475465953,,29.43722943722944,14.71861471861472,12.12121212121212,38.095238095238095,16.450216450216452,37.22943722943724,51.51515151515152,13.41991341991342,55.84415584415584,50.0,4.8034934497816595,93.47826086956522,87.01298701298701,1,18.75901875901876,27.272727272727273,34.05483405483406,52.92207792207792,61.76491377744463,35.096266648146276,2.0,33.096266648146276,"valuation=61.8,cashflow=52.9",中越パルプ工業株式会社,中越パルプ工業,EXACT,中越パルプ工業,中越パルプ工業株式会社,985426300,1.0,1.0,"[{""env_key"": ""中越パルプ工業"", ""score"": 1.0}]"
196,5932,5932.T,三協立山株式会社,三協立山,1.0,金属製品製造業,三協立山株式会社,2025-05-31,2025-05-31,2025-05-31,359424000000.0,69764000000.0,1545000000.0,-477000000.0,-2336000000.0,300454000000.0,,91240000000.0,89370000000.0,,,-10061000000.0,19336468480.0,617.0,31339497.0,7.741531,0.2800839335,0.1091590510508647,-0.0064992877492877,0.0042985443376068,-0.0256028057869355,-0.0077749006503491,0.9795046032441912,0.0181204270494892,1.2924435721295389,,0.3036737736891504,-0.0279920094373219,,1.7316017316017316,3.463203463203463,3.463203463203463,31.16883116883117,95.67099567099568,19.480519480519476,11.255411255411255,3.463203463203463,15.584415584415584,50.0,87.33624454148472,99.1304347826087,99.13419913419914,1,2.886002886002886,63.41991341991343,11.399711399711398,32.79220779220779,95.20029281943086,35.02860092147163,2.0,33.02860092147163,"valuation=95.2,growth=63.4",三協立山株式会社,三協立山,EXACT,三協立山,三協立山株式会社,370021004,1.0,1.0,"[{""env_key"": ""三協立山"", ""score"": 1.0}]"
199,5019,5019.T,出光興産株式会社,出光興産,2.0,石油製品・石炭製品製造業,出光興産株式会社,2025-03-31,2025-03-31,2025-03-31,9190225000000.0,689412000000.0,162186000000.0,158361000000.0,104055000000.0,4775586000000.0,,1720367000000.0,1196374000000.0,,,381520000000.0,1419966021632.0,1159.5,1224636530.0,33.854015,0.82250494,0.1545082978525553,0.0113223560903024,0.0176476636861447,0.0604841873855985,0.0217889490420652,0.6954178962977086,0.0540214636639297,-0.5446529376241697,,0.3602420729100052,0.0415136734954802,,9.090909090909092,10.38961038961039,31.16883116883117,58.87445887445888,15.584415584415584,35.064935064935064,22.943722943722943,20.77922077922078,58.44155844155844,50.0,6.986899563318783,68.69565217391305,94.8051948051948,1,16.883116883116884,37.22943722943723,26.26262626262626,54.22077922077922,56.82924884747555,34.420851973585975,2.0,32.420851973585975,"valuation=56.8,cashflow=54.2",出光興産株式会社,出光興産,EXACT,出光興産,出光興産株式会社,985052701,1.0,1.0,"[{""env_key"": ""出光興産"", ""score"": 1.0}]"
200,9501,9501.T,東京電力ホールディングス株式会社,東京電力ホールディングス,2.0,電気業,東京電力ホールディングス株式会社,2025-03-31,2025-03-31,2025-03-31,6810391000000.0,234453000000.0,234453000000.0,198741000000.0,161278000000.0,14986993000000.0,,3759228000000.0,6168269000000.0,,,361249000000.0,1019714469888.0,636.5,1602065198.0,3.12663936,0.34069481,0.1497292108320946,0.023681166029968,0.0344257767285314,0.0429018936866824,0.0107611980602112,1.6408339691021667,-0.0156101392405282,-0.3978794101176031,,0.2508327053999424,0.0530437973385081,,20.346320346320347,25.108225108225103,19.047619047619047,13.852813852813853,19.913419913419915,4.761904761904767,3.896103896103896,10.38961038961039,65.36796536796537,50.0,99.12663755458514,97.3913043478261,95.67099567099568,1,21.5007215007215,16.883116883116884,6.349206349206351,57.68398268398269,97.39631252446895,34.35872537794884,2.0,32.35872537794884,"valuation=97.4,cashflow=57.7",東京電力ホールディングス株式会社,東京電力,EXACT,東京電力,東京電力ホールディングス株式会社,985496609,1.0,1.0,"[{""env_key"": ""東京電力"", ""score"": 1.0}]"
201,2503,2503.T,キリンホールディングス株式会社,キリンホールディングス,1.0,食料品、飲料・たばこ・飼料製造業,キリンホールディングス株式会社,2024-12-31,2024-12-31,2024-12-31,2338385000000.0,1065955000000.0,125340000000.0,139721000000.0,58214000000.0,3354159000000.0,,1181525000000.0,857569000000.0,,,62260000000.0,1945175851008.0,2401.0,810152414.0,36.15419,1.6628529,0.8318458470303222,0.0248949595554196,0.0536010964832566,0.0492702228052728,0.0173557663783976,0.7258153657349612,0.0955737767130981,-0.4834467643326796,,0.3522567057793026,0.0266252135555094,,38.961038961038966,25.97402597402597,24.24242424242424,79.22077922077922,17.74891774891775,32.9004329004329,20.346320346320347,16.450216450216452,48.48484848484848,50.0,4.366812227074234,23.913043478260864,38.961038961038966,1,29.72582972582973,48.48484848484848,23.23232323232323,49.24242424242424,22.41363155545802,34.0095916308656,2.0,32.0095916308656,"cashflow=49.2,growth=48.5",キリンホールディングス株式会社,キリン,EXACT,キリン,キリンホールディングス株式会社,985146306,1.0,1.0,"[{""env_key"": ""キリン"", ""score"": 1.0}]"
