"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7778983","特願2025-103431","2025/06/19","2025/12/02","情報処理システム、情報処理方法及びプログラム","三菱商事株式会社","G06Q50/04,G06Q50/08","【要約】      （修正有）
【課題】建設現場において、ミルシートに関する情報と、対応する鋼材の情報とをより効率的に管理できるシステムを提供する。
【解決手段】情報処理装置２のプロセッサが、次の各ステップがなされるようにプログラムを実行する情報処理システム１であって、第１の取得ステップでは、第１のユーザ（３ａ、３ｂ）から鋼材に関する鋼材情報を取得する。鋼材情報は、ラベル情報に基づき特定可能であり、ラベル情報は、鋼材に対応する鋼材ラベルに含まれる情報である。特定ステップでは、鋼材情報と第１の参照情報とに基づき、鋼材情報に対応するミルシート情報を特定する。第１の参照情報は、少なくとも鋼材情報とミルシート情報との関係性を含み、ミルシート情報は、鋼材の品質を証明するための情報を含む。出力ステップでは、ミルシート情報と鋼材情報との対応関係を第１のユーザが把握可能な出力情報を出力する。
【選択図】図１
","","","特許7778983","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7778983/15/ja"
"特許7707472","特願2025-072535","2025/04/24","2025/07/14","情報処理装置","三菱商事株式会社","G06Q10/087,G06Q10/08","【要約】
【課題】在庫の適正化を図りつつ、発注業務の効率化を実現することである。
【解決手段】情報処理装置は、受払データの入力を受け付ける受付部と、設定データを取得する取得部と、管理グループの使用量を算出する使用量算出部と、管理グループの最低限の在庫量を示す安全在庫量に基づく、保有すべき月数分の在庫量を示す基準月数を算出する基準月数算出部と、管理グループの需要量を予測する需要量予測部と、管理グループの必要量を算出する必要量算出部と、管理グループに属する品目を発注するか否かを判定する発注判定部と、管理グループに所属する品目の推奨発注量を算出する推奨発注量算出部と、品目の発注計画を生成する発注計画生成部と、品目の発注に関する発注データを生成する発注データ生成部と、発注データを出力する発注データ出力部と、を備える。
【選択図】図１
","","","特許7707472","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7707472/15/ja"
"特許7676639","特願2024-112047","2024/07/11","2025/05/14","情報処理装置","三菱商事株式会社","G06Q10/087","【要約】
【課題】在庫の適正化を図りつつ、発注業務の効率化を実現することである。
【解決手段】情報処理装置は、材料の在庫に関する在庫データと、材料の販売実績に関する販売実績データと、材料の契約残量に関する契約残量データとを含む受払データの入力を受け付けて、材料のリードタイムに関するリードタイムデータを含む設定データを取得し、販売実績データとリードタイムデータとに基づいて、安全在庫量を算出し、販売実績データに基づいて、統計予測手法を用いて、材料の需要量を予測し、受払データと、リードタイムデータと、安全在庫量と、需要量予測部により予測された需要量に基づいて、材料を発注するか否かを判定し、発注判定部が材料を発注すると判定した場合に、材料の発注量を算出し、発注量に基づいて、材料の発注計画を生成し、発注計画に基づいて、材料の発注に関する発注データを生成し、発注データを出力する。
【選択図】図１
","","","特許7676639","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7676639/15/ja"
"特開2024-095706","特願2024-049083","2024/03/26","2024/07/10","フラーレン誘導体、膜、電子アクセプター、電子輸送材料、及び電子デバイス","国立大学法人東海国立大学機構,三菱商事株式会社","C07C49/697,C01B32/156,H01B1/04,C07D333/78","(57)【要約】      （修正有）
【課題】優れた特性を有するフラーレン誘導体を提供する。
【解決手段】フラーレン誘導体は、

（ここで、Ａｒは、ベンゼン環、ナフタレン、アントラセン、フェナントレン、ピレン、ピロール、ピラゾールなどの縮合環、フラン、チオフェンなどの複素環等の任意の芳香族環、Ｘは、Ｏ、Ｓ、Ｓｅ、又はＴｅ、＊は、フラーレンコアとの連結点の炭素原子である。）のいずれかの構造を有する。
【選択図】図１
","特開2024-095706","","特許7665162","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-095706/11/ja"
"特開2024-053127","特願2024-037696","2024/03/12","2024/04/12","フラーレンの製造装置及びフラーレンの製造方法","株式会社レゾナック,三菱商事株式会社","C01B32/154","(57)【要約】
【課題】フラーレンの収率を向上させることができる、排ガスの冷却装置及びフラーレンの製造方法を提供する。
【解決手段】
  燃焼法によるフラーレンの生成に用いられる反応炉１１から排出される排ガスを冷却する、冷却装置３１であって、前記冷却装置３１は、冷却装置本体３４と、不活性ガスを流入させる不活性ガス流入手段と、を備え、前記冷却装置本体３４は、排ガス流入口３２と、排ガス流出口３３と、及び前記排ガス流入口３２及び前記排ガス流出口３３の間に備えられた側壁３７と、を備え、前記側壁３７には不活性ガス流入口３６が設けられており、前記不活性ガス流入手段は、前記反応炉１１から排出される排ガスの流れの中心に向かって、前記不活性ガス流入口３６から、不活性ガスを流す、冷却装置３１。
【選択図】図１
","特開2024-053127","","特許7676725","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-053127/11/ja"
"特開2024-043900","特願2022-149136","2022/09/20","2024/04/02","配送管理システム","ＥＮＥＯＳ株式会社,三菱商事株式会社","G06Q10/08","(57)【要約】
【課題】配送業者が所有していない新たな配送拠点を配送業者に提案する。
【解決手段】荷物の配送業者の端末装置と通信可能な情報処理装置（１０）が、複数のエネルギーステーションそれぞれについて、住所情報を含むステーション情報を対応付けて記憶する記憶手段３０と、荷物の配送拠点の検索要求であり、荷物の配送先の住所情報を含む検索要求を端末装置から受け付ける受付手段３２と、受付手段３２が検索要求を受け付けた場合に、当該検索要求に含まれる住所情報と、ステーション情報に含まれる住所情報とに基づき、複数のエネルギーステーションの中から一以上のエネルギーステーションを検索する検索手段３６と、検索手段３６が検索した一以上のエネルギーステーションを荷物の配送拠点として端末装置に通知する通知手段３８と、を備える。
【選択図】図３
","特開2024-043900","","特許7757259","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-043900/11/ja"
"特許7439334","特願2023-159310","2023/09/24","2024/02/27","情報処理システム、情報処理方法及びプログラム","三菱商事株式会社","G06Q50/04,G06Q30/0601,308","(57)【要約】      （修正有）
【課題】商流の中において鋼材の販売先に対して速やかにミルシートを開示する情報処理システム、情報処理方法及びプログラムを提供する。
【解決手段】サーバー装置１００と、サーバー装置１１０と、クライアント装置１２０と、スマートフォン１３０とが、ネットワーク１５０を介して互いに通信可能に接続され、少なくとも１つ以上の制御部を有する情報処理システム１０００であって、サーバー装置１００の制御部は、鋼材の品質を証明する書類であるミルシート情報を取得する。ミルシート情報には鋼材の商流を示す商流情報が含まれる。制御部はまた、取得したミルシート情報を登録し、商流情報に基づき鋼材の販売先にミルシート情報を開示するよう制御する。
【選択図】図１
","特開2025-050486","","特許7439334","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7439334/15/ja"
"特開2023-057076","特願2022-198035","2022/12/12","2023/04/20","フラーレン誘導体","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C07C23/46,C01B32/156,H10K30/85,H10K30/60,H10K39/32,H10K85/00,H10K85/20,H10K85/60,C07C22/08","(57)【要約】
【課題】特殊な合成装置を必要とせずに合成でき、熱分解しない低い温度で蒸着が可能なフラーレン誘導体を提供する。
【解決手段】本開示に係るフラーレン誘導体は、フラーレン骨格と、下記一般式（１）
［化１］
（式（１）中、Ｃ＊はそれぞれフラーレン骨格を形成する互いに隣り合った炭素原子であり、Ｒｆ１およびＲｆ２はトリフルオロメチル基である。）で示される部分構造を有する。
【選択図】なし
","特開2023-057076","","特許7728738","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-057076/11/ja"
"特許7230268","特願2022-135628","2022/08/29","2023/02/28","端末装置、情報処理装置、情報処理方法及びプログラム","三菱商事株式会社","G06Q10/08,300,A47G29/124,G06Q10/083,B65G61/00,500","(57)【要約】      （修正有）
【課題】商品の集荷に関する作業を容易にすることが可能な端末装置、情報処理装置、情報処理方法及びプログラムを提供する。
【解決手段】情報処理システム１０００において、端末装置１１０、１２０は、制御部を有する。制御部は、宅配ボックス１５０に関連付けられている二次元コード１６０を撮像した撮像画像から二次元コードに関するコード情報を取得し、コード情報を情報処理装置に送信する。情報処理装置であるサーバー装置１００は、宅配ボックスに関するコード情報を受信すると、サーバー装置１００が管理している適切な二次元コード番号か否か等を判定し、適切な二次元コード番号であると判定すると、二次元コード番号に関連する宅配ボックスに関する暗証番号を生成し、端末装置の画面に暗証番号を含む画面を表示する。
【選択図】図１
","特開2023-048993","","特許7230268","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7230268/15/ja"
"特開2023-014234","特願2022-191642","2022/11/30","2023/01/26","潤滑油組成物の製造方法","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C10M177/00,C10M125/02,C10N70:00,C10N30:06,C10N40:02,C10N40:04,C10N40:20@A,C10N40:24,C10N40:22,C10N40:30,C10N40:00@Z","(57)【要約】
【課題】耐摩耗性を向上する潤滑油組成物の製造方法を提供する。
【解決手段】潤滑油組成物の製造方法は、基油にフラーレンが溶解しているフラーレン溶液に放射線を照射して、フラーレン付加体を生成する放射線照射工程を含み、前記放射線は、紫外線である。
【選択図】なし
","特開2023-014234","","特許7508729","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-014234/11/ja"
"特許7134320","特願2021-150436","2021/09/15","2022/09/09","ナノカーボン配合凝集物およびその製造方法","三菱商事株式会社","C01B32/168,C09C1/44,C01B32/194","(57)【要約】
【課題】分散性の良好なナノカーボン配合凝集物を効率的に取得する。
【解決手段】ナノカーボン配合凝集物の製造方法であって、（１）ナノカーボン１００質量部に対して、１～１０質量部のバインダー剤および４３～２３３質量部の液媒体を含浸させて固体凝集物を得る工程、および（２）上記固体凝集物を解砕処理してナノカーボン配合凝集物を得る工程、を含んでなり、ＪＩＳ  Ｋ  ６２１９－３に準拠して測定される上記ナノカーボン配合凝集物の硬度が１０ｇ以下である方法を用いる。
【選択図】図３
","特開2023-042985","","特許7134320","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7134320/15/ja"
"特開2022-096066","特願2020-208957","2020/12/17","2022/06/29","フラーレンの製造装置及び製造方法","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C01B32/154","(57)【要約】
【課題】フラーレンの収率を向上させることを可能としたフラーレンの製造装置を提供する。
【解決手段】炭化水素を含む原料ガスの不完全燃焼によりフラーレンを生成するフラーレンの製造装置は、一端側の壁部と、他端側の壁部と、前記一端側の壁部と前記他端側の壁部を囲む周壁部とを有する反応炉と、前記反応炉の一端側に設けられ、他端側に向けて前記炭化水素を含む原料ガスと第１の酸素含有ガスを噴射して不完全燃焼させる第１の噴射部と、前記第１の噴射部の外側に配置され、第２の酸素含有ガスを反応炉２内に、噴射する第２の噴射部と、を有する。
【選択図】図２

","特開2022-096066","","特許7665897","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-096066/11/ja"
"特開2022-096065","特願2020-208956","2020/12/17","2022/06/29","フラーレンの製造装置及び製造方法","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C01B32/154,H01L21/205,H10P14/24","(57)【要約】      （修正有）
【課題】フラーレンの収率を向上させることを可能としたフラーレンの製造装置、及び製造方法を提供する。
【解決手段】炭化水素を含む原料ガスの不完全燃焼によりフラーレンを生成するフラーレンの製造装置は、反応炉２と、炭化水素を含む原料ガスを前記反応炉内に噴射する第１の噴射部２３ｃを備えるバーナ９Ａと、不活性ガスを反応炉内に噴射する第２の噴射部２５ａと加熱部２６とを備える不活性ガス導入部１０Ａと、を有する。
【選択図】図２
","特開2022-096065","","特許7665896","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-096065/11/ja"
"特許7212227","特願2022-558041","2021/12/06","2022/06/16","フラーレン誘導体およびその製造方法","昭和電工株式会社,三菱商事株式会社","C07C17/266,C07C22/08,C07C23/46,C07B61/00,300","null","WO2022/124273","","特許7212227","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7212227/15/ja"
"特開2022-067924","特願2020-176793","2020/10/21","2022/05/09","潤滑剤組成物、その製造方法及び機械装置","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C10M129/72,C10M107/50,C10M117/02,C10M169/04,C10M177/00,C10N50:10,C10N10:02,C10N40:02,C10N30:06,C10N40:04,C10N40:08,C10N70:00,C10M129/86,C10M125/02","(57)【要約】      （修正有）
【課題】潤滑性能を向上させたシリコーン油の潤滑剤組成物、それらの製造方法並びに機械装置の提供。
【解決手段】シリコーン油を基油とし、下記一般式のフラーレン誘導体

（上記一般式（１）中、Ｒ１及びＲ２はアルコキシ基を表わし、ＦＬＮはフラーレン骨格を表し、ｎは１以上の整数を表わす。）を含む潤滑剤組成物を用いる。
【選択図】なし
","特開2022-067924","","特許7597461","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-067924/11/ja"
"特開2022-067923","特願2020-176792","2020/10/21","2022/05/09","潤滑油組成物、その製造方法及び機械装置","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C10M125/02,C10M105/04,C10N70:00,C10N40:02,C10N40:00@Z,C10M169/04,C10M177/00,C10M129/95,C10M129/86,C10M109/00","(57)【要約】      （修正有）
【課題】基油劣化による蒸気圧上昇が抑制された低蒸気圧を有する潤滑油組成物、その製造方法及び前記潤滑油組成物を使用した機械装置を提供する。
【解決手段】基油とフラーレン誘導体とを含み、前記基油は多重アルキルシクロペンタン油又はイオン液体であり、前記フラーレン誘導体は下記一般式（１）

で表される化合物である潤滑油組成物を用いる。
【選択図】なし
","特開2022-067923","","特許7597460","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-067923/11/ja"
"特開2022-009743","特願2021-177624","2021/10/29","2022/01/14","潤滑油組成物","昭和電工株式会社,三菱商事株式会社","C10M125/02,C10N30:06,C10N40:02,C10N40:04,C10N40:08,C10N40:22,C10N40:20@A,C10N40:24,C10N40:30,C10N40:00@Z","(57)【要約】
【課題】耐摩耗性を向上する潤滑油組成物を提供する。
【解決手段】この潤滑油組成物は、基油とフラーレン付加体とフラーレンとを含む潤滑油組成物であって、前記潤滑油組成物中の、フラーレン換算の前記フラーレン付加体濃度及び前記フラーレン濃度の合計に対する、前記フラーレンの濃度の比が０．０３以上０．８８以下であり、前記フラーレン付加体の付加基は、基油を構成する分子構造の一部を有する。
【選択図】なし
","特開2022-009743","","特許7203311","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-009743/11/ja"
"特開2021-195296","特願2020-105489","2020/06/18","2021/12/27","フラーレンの製造装置およびフラーレンの製造方法","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C01B32/154,F27D9/00","(57)【要約】      （修正有）
【課題】フラーレンの収率を向上させることができるフラーレンの製造装置及びフラーレンの製造方法を提供する。
【解決手段】炭化水素原料を不完全燃焼させてフラーレンを生成する反応炉１０と、生成したフラーレンを回収するフラーレン回収装置１３ａと、前記反応炉と前記フラーレン回収装置とを接続する接続通路３５、３６と、水を含む流体を前記接続通路内に導入させる水導入手段１２と、を有するフラーレンの製造装置。
【選択図】図１
","特開2021-195296","","特許7495188","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-195296/11/ja"
"特開2021-173372","特願2020-079434","2020/04/28","2021/11/01","液化天然ガス供給設備","エア・ウォーター株式会社,三菱商事株式会社","F17C13/00,302@A,F17C5/02@Z","(57)【要約】
【課題】外部に対して供給される液化天然ガスへのＢＯＧの混入が抑制できるばかりでなく、短時間にかつ消費エネルギを低減した状態で予冷動作が行なえる液化天然ガス供給設備を提供する。
【解決手段】液化天然ガス供給設備１は、液化天然ガスを貯留する貯留タンク２０と、貯留タンク２０に貯留された液化天然ガスを導出して外部に対してこれを供給する導出ラインＬ１およびディスペンサ３０と、ディスペンサ３０に導入された液化天然ガスを貯留タンク２０に戻すための還流ラインＬ２とを備える。貯留タンク２０に設けられた導出ラインＬ１に対する液化天然ガスの導出口２１は、ディスペンサ３０に設けられた液化天然ガスの外部に対する供給口３１よりも高所に位置する。
【選択図】図４
","特開2021-173372","","特許7321968","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-173372/11/ja"
"特許7027676","特願2021-519457","2020/05/13","2020/11/19","潤滑油組成物の検査方法およびその潤滑油組成物の製造方法","昭和電工株式会社,三菱商事株式会社","G01N23/201,G01N21/47,G01N15/00@A,G01N3/56@Z,C10M177/00,C10M125/02,C10N70:00,C10N30:06,G01N21/47@B","null","WO2020/230815","","特許7027676","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7027676/15/ja"
"再表2020/218392","特願2021-516189","2020/04/23","2020/10/29","潤滑油組成物及びその製造方法","昭和電工株式会社,三菱商事株式会社","C10M125/02,C10M177/00,C10N30:06,C10N40:04,C10N40:08,C10N40:30,C10N40:22,C10N40:24,C10N40:20@A,C10N40:00@Z,C10N40:02,C10N70:00","(57)【要約】
  本実施形態の潤滑油組成物の製造方法は、基油にフラーレンが溶解しているフラーレン溶液に、放射線を照射する放射線照射工程を含み、上記放射線は、紫外線又は電離放射線である。
","WO2020/218392","","特許6995281","","再表2020/218392","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-218392/19/ja"
"再表2020/218391","特願2021-516188","2020/04/23","2020/10/29","潤滑油組成物の製造方法及び潤滑油組成物","昭和電工株式会社,三菱商事株式会社","C10M169/04,C10M177/00,C10M105/04,C10M105/56,C10M125/02,C10N70:00,C10N30:00@Z,C10N30:06,C10N40:00@Z,C10N40:30,C10M105/68,C10N40:02","(57)【要約】
  この潤滑油組成物の製造方法は、多重アルキルシクロペンタン油又はイミドを陰イオンとするイオン液体を主成分とする基油にフラーレンを溶解してフラーレン溶液を得る工程と、上記フラーレン溶液を非酸化性雰囲気下で熱処理することによりフラーレン付加体を生成する工程と、を含む。
","WO2020/218391","","特許6995280","","再表2020/218391","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-218391/19/ja"
"再表2020/218386","特願2021-516185","2020/04/23","2020/10/29","潤滑油組成物、その製造方法及び真空装置","昭和電工株式会社,三菱商事株式会社","C10M169/04,C10M125/02,C10M105/04,C10N40:00@Z,C10N40:30,C10N30:06,C10N30:00@Z,C10M177/00,C10N40:02,C10N70:00","(57)【要約】
  フラーレンと基油とを含み、前記フラーレンは、フラーレン昇華物であり、
  前記基油は、多重アルキルシクロペンタン油またはイオン液体である、潤滑油組成物である。
","WO2020/218386","","特許6995279","","再表2020/218386","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-218386/19/ja"
"特開2020-123306","特願2019-128843","2019/07/10","2020/08/13","販売システム、携帯端末、ストアコンピュータ","三菱商事株式会社","G06Q30/06,300,G07G1/14,G07G1/00,311@E,G07G1/12,361@E,G06Q30/06,G06Q30/0601","(57)【要約】
【課題】商品の価格を自由に設定することができる販売システムを、を提供し、値引きする商品の値引き価格を、顧客に効率よく伝える仕組みを提供する。
【解決手段】商品を顧客に販売するための販売システムであって、前記商品に付されている光学式コードを撮影し、前記光学式コードが表すインストアコードをストアコンピュータに送信する携帯端末と、前記携帯端末から、前記インストアコードを受信した場合、前記インストアコードで示される商品の価格を、前記携帯端末に送信するストアコンピュータと、を備え、前記携帯端末は、前記ストアコンピュータから送信されてきた前記価格を画面に表示し、前記顧客は、前記携帯端末の前記画面から、前記商品の価格を知ることが可能な販売システムである。
【選択図】図１２
","特開2020-123306","","特許6896805","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-123306/11/ja"
"再表2020/137936","特願2020-563235","2019/12/23","2020/07/02","熱硬化性樹脂用樹脂添加組成物及びその製造方法、熱硬化性樹脂組成物及びその製造方法、熱硬化性樹脂組成物の硬化物","昭和電工株式会社,株式会社レゾナック,三菱商事株式会社","C08L101/00,C08K3/04,C08K5/00,C08J3/215","(57)【要約】
  樹脂の耐熱性、表面平滑性、力学特性、及び耐電圧性を向上する樹脂添加組成物及びその製造方法、樹脂組成物及びその製造方法を提供する。媒体Ａとフラーレンとを混合し、前記媒体Ａと前記フラーレンを含むフラーレン分散体を得る工程と、前記フラーレン分散体を熱処理する工程と、を含み、前記媒体Ａは、熱可塑性樹脂、熱可塑性樹脂の原料、熱硬化性樹脂の原料からなる群から選択される少なくとも１種である樹脂添加組成物の製造方法。
","WO2020/137936","","特許7586710","拒絶2024-012250","再表2020/137936","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-137936/19/ja"
"特許6714134","特願2019-149429","2019/08/16","2020/06/24","カーボンナノチューブ配合凝集物の製造方法","三菱商事株式会社","C08J3/20@A,C08J3/16,C01B32/168","(57)【要約】
【課題】水を分散媒として用い、嵩密度が高く飛散性の低いカーボンナノチューブ配合凝集物を簡易かつ安価に提供する。
【解決手段】本発明のカーボンナノチューブ配合凝集物の製造方法は、（１）０．００５～３．０質量％の濃度を有する水溶性ポリマーの水溶液を準備する工程、（２）カーボンナノチューブ１００質量部に対して、前記水溶性ポリマーの水溶液を４００～１０００質量部の割合で前記カーボンナノチューブに含浸させて湿潤凝集物を調製する工程、（３）前記湿潤凝集物を剪断破砕して破砕物の凝集物を得る工程、および
（４）前記破砕物の凝集物を乾燥する工程、
を含む。
【選択図】図２
","特開2021-031514","","特許6714134","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6714134/15/ja"
"特開2020-077120","特願2018-209148","2018/11/06","2020/05/21","車両運転支援システム","ボッシュ株式会社,ローベルト　ボッシュ　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,三菱商事株式会社,ロベルト・ボッシュ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング","G08G1/00@X,G08G1/14@A","(57)【要約】
【課題】車速又は進行方向を電子制御するためのソフトウェア又はハードウェアを備えていない車両に対しても適用可能な車両運転支援システムを提供する。
【解決手段】車両（２０）の運転を外部から制御する車両運転支援システム（１）において、特定エリア内に設置された監視装置（５）と、車両（２０）に搭載され、ステアリングホイール（２３）、アクセルペダル（２５）、ブレーキペダル又はシフトレバー（２７）のうちの少なくとも一つを操作する少なくとも一つのロボット装置（２１）と、車両（２０）の外部に設置され、監視装置（５）の検出情報に基づいてロボット装置（２１）の制御に用いる情報を演算し、通信ネットワークを介して車両（２０）に情報を送信する情報処理装置（５０）と、車両（２０）に搭載され、情報処理装置（５０）から送信される情報に基づいてロボット装置（２１）を制御する車両制御装置（３０）と、を備える。
【選択図】図１
","特開2020-077120","","特許7158116","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-077120/11/ja"
"特開2019-197287","特願2018-089543","2018/05/07","2019/11/14","返品・返却システム、返品・返却サーバ及び返品・返却装置","株式会社ローソン,三菱商事株式会社","G06Q10/08,318,G06Q10/0837","(57)【要約】
【課題】消費者が簡便な方法で返品・返却できる商品返品・返却システムを提供することである。
【解決手段】商品の返品・返却を行うための返品・返却装置であって、コンピュータと、  プリンタと、を備え、コンピュータは、消費者が提示する返品・返却予約をしていることを示す返品・返却受付コードを読み取る読み取り部と、読み取り部が読み取った返品・返却受付コードを、外部の返品・返却サーバに送信し、返品・返却サーバから、商品の配送状況を管理するための配送コードを受信する通信部と、返品・返却サーバから送信されてきた配送コードを表示したラベルを、プリンタに印刷させるプロセッサと、を具備し、消費者が、印刷されたラベルを返品・返却に係る商品に貼付することができ、読み取り部が、商品に貼付されたラベルが表示する配送コードを読みとった場合、通信部は、読み取り部が読み取った配送コードを、外部の返品・返却サーバに送信する。
【選択図】図５
","特開2019-197287","","特許6751112","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-197287/11/ja"
"再表2019/111889","特願2019-531351","2018/12/04","2019/06/13","潤滑油組成物の検査方法および潤滑油組成物の製造方法","昭和電工株式会社,三菱商事株式会社","G01N33/30,G01N15/02@A,C10M113/02,C10M177/00,C10M125/02,C10M169/04,C10N20:06@Z,C10N30:00@Z,C10N30:06,C10N40:02,C10N40:04,C10N40:08,C10N40:20@A,C10N40:20@Z,C10N40:22,C10N40:24,C10N40:30,G01N15/0205","(57)【要約】
  基油とフラーレンとを含む潤滑油組成物の検査方法であって、前記潤滑油組成物のラメラ長および動的光散乱法による粒径分布の最多径の少なくとも一方を測定し、その測定値が設定した範囲内にある前記潤滑油組成物を選別する潤滑油組成物の検査方法。
","WO2019/111889","","特許6603951","","再表2019/111889","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-111889/19/ja"
"再表2019/082915","特願2019-516026","2018/10/24","2019/05/02","潤滑油組成物及びその製造方法","昭和電工株式会社,三菱商事株式会社","C10M125/02,C10N30:06,C10N40:00@Z,C10N40:02,C10N40:04,C10N40:08,C10N40:14,C10N40:20,C10N40:20@A,C10N40:22,C10N40:24,C10N40:30,C10M177/00","(57)【要約】
  潤滑油組成物の製造方法は、基油とフラーレンとを混合し、前記フラーレンの溶解成分を前記基油中に溶解し、前記基油とフラーレンの混合物を得る工程と、前記混合物に含まれる不溶成分を除去し、フラーレン溶液を得る工程と、前記フラーレン溶液を熱処理する工程と、を含む。
","WO2019/082915","","特許6623503","","再表2019/082915","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-082915/19/ja"
"再表2019/082883","特願2019-551152","2018/10/23","2019/05/02","フラーレン含有潤滑油組成物及びその製造方法","昭和電工株式会社,三菱商事株式会社","C10M125/02,C10M101/02,C10M169/04,C10N30:06,C10N40:04,C10N40:08,C10N40:30,C10N40:22,C10N40:24,C10N40:20@Z,C10N40:20@A,C10N40:02","(57)【要約】
  基油と、フラーレンと、を含み、前記フラーレンは、溶解しており、かつ、濃度１質量ｐｐｍ以上５０質量ｐｐｍ未満であるフラーレン含有潤滑油組成物。
","WO2019/082883","","特許7001899","","再表2019/082883","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-082883/19/ja"
"特許6499781","特願2018-042218","2018/03/08","2019/04/10","カーボンナノチューブ高配合ゴム粒状物の製造方法","三菱商事株式会社","C08J3/16,C08K7/24,C08L21/02,C09C1/44,C09D17/00","(57)【要約】
【課題】本発明は、各種のゴムラテックスをバインダーとしてカーボンナノチューブ（ＣＮＴという）をコーティングし、更にＣＮＴ内部へゴムを浸透させることで、ＣＮＴを高配合で粒状化させ、飛散性を大幅に低減化させ、加工性・ハンドリング性等を著しく向上させるＣＮＴ高配合ゴム粒状物の製造方法の提供
【構成】本発明のＣＮＴ高配合ゴム粒状物の製造方法は、（１）容器にＣＮＴＣＮＴと前記ＣＮＴに１００倍の水を投入し撹拌する水混合工程と、（２）次いで、これにゴムラテックスを添加し混合する混合工程と、（３）次いで、得られた混合液を撹拌しながら非水溶性溶媒を滴下しながらＣＮＴを水相からゴム相へ移行させながら造粒する造粒工程と、（４）次いで、水相と前記造粒物を分離する分離工程と、（５）分離された前記造粒物を乾燥する乾燥工程と、を備えた構成を有している。
【選択図】図１
","特開2019-156911","","特許6499781","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-6499781/15/ja"
