"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2017-166250","特願2016-053718","2016/03/17","2017/09/21","解体工事あるいは建設工事における建築構造物の引抜き転倒防止装置および引抜き転倒防止方法","ＪＦＥシビル株式会社,戸田建設株式会社","E04G23/08@Z","特開2017-166250","","特許6693778","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-166250/11/ja"
"特開2017-166173","特願2016-050952","2016/03/15","2017/09/21","連結装置およびその連結装置の設置構造","カヤバ　システム　マシナリー株式会社,戸田建設株式会社,昭和電線デバイステクノロジー株式会社,昭和電線ケーブルシステム株式会社","E04H9/02,331@B,F16F15/023@Z,F16F15/04@P,F16F15/027","特開2017-166173","","特許6684616","","","特許 有効","出願人・権利者等データ変更申請の却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-166173/11/ja"
"特開2017-155545","特願2016-041996","2016/03/04","2017/09/07","木造柱の吊り治具","戸田建設株式会社","E04G21/16","特開2017-155545","","特許6680569","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-155545/11/ja"
"特開2017-155543","特願2016-041988","2016/03/04","2017/09/07","コンクリート表面の処理工法と滑り止め処理治具","株式会社イスルギ,戸田建設株式会社","E04F21/24@Z,E01C7/35,E01C7/14,E04F15/12@H","特開2017-155543","","特許6706934","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-155543/11/ja"
"特開2017-155513","特願2016-040875","2016/03/03","2017/09/07","免震レトロフィットにおける建物の取り合い部分の施工方法と建物","戸田建設株式会社","E04G23/02@D,E04H9/02,331@Z","特開2017-155513","","特許6710064","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-155513/11/ja"
"特開2017-137730","特願2016-020639","2016/02/05","2017/08/10","複合構造における仕口鉄骨の固定方法と仕口構造","戸田建設株式会社","E04B1/58,507@P,E04B1/30@K","特開2017-137730","","特許6654918","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-137730/11/ja"
"特開2017-129445","特願2016-008655","2016/01/20","2017/07/27","被災情報管理システム","戸田建設株式会社","G01V1/00@D,G08B21/10,G08B31/00,G01V1/01,100","特開2017-129445","","特許6684598","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-129445/11/ja"
"特開2017-129061","特願2016-008855","2016/01/20","2017/07/27","洋上風力発電設備及びその施工方法","戸田建設株式会社,電源開発株式会社","F03D11/04@A,F03D13/25","特開2017-129061","","特許6716261","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-129061/11/ja"
"特開2017-127302","特願2016-196429","2016/10/04","2017/07/27","植物生育促進装置、該植物生育促進装置を用いた植物生育促進システム、及び植物生育促進方法","戸田建設株式会社","A01G9/20@B,A01G7/00,601@B,A01G7/02,A01G9/18","特開2017-127302","","特許6814589","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-127302/11/ja"
"特開2017-125684","特願2016-003187","2016/01/12","2017/07/20","切羽前方の地質探査方法","戸田建設株式会社","G01V1/00@C,E21D9/00@Z,E21B49/00","特開2017-125684","","特許6602675","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-125684/11/ja"
