"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2022-066213","特願2022-017643","2022/02/08","2022/04/28","ロードポート及びロードポートの駆動方法","シンフォニアテクノロジー株式会社","H01L21/68@T,H01L21/68@A,H10P72/10@T,H10P72/30@A","特開2022-066213","","特許7277840","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-066213/11/ja"
"特開2022-061711","特願2020-169817","2020/10/07","2022/04/19","ワーク搬送装置","シンフォニアテクノロジー株式会社","B65G27/24","特開2022-061711","","特許7564434","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-061711/11/ja"
"特開2022-055098","特願2020-162479","2020/09/28","2022/04/07","吊上電磁石用制御装置及びそれを備えた吊上電磁石装置","シンフォニアテクノロジー株式会社","B66C1/08@C,B66C1/06@F","特開2022-055098","","特許7598003","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-055098/11/ja"
"特開2022-055097","特願2020-162478","2020/09/28","2022/04/07","吊上電磁石用制御装置","シンフォニアテクノロジー株式会社","B66C1/08@C,H01F7/20@H","特開2022-055097","","特許7598002","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-055097/11/ja"
"特開2022-053936","特願2020-160840","2020/09/25","2022/04/06","回転電機","シンフォニアテクノロジー株式会社,三菱重工エンジン＆ターボチャージャ株式会社","H02K9/19@A,H02K5/20","特開2022-053936","","特許7554617","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-053936/11/ja"
"特開2022-046958","特願2020-152623","2020/09/11","2022/03/24","バッテリ試験装置","シンフォニアテクノロジー株式会社","G01R31/00,H01M10/44@Q,H01M10/48@P,H02J7/00@Q,G01R31/385,H02J7/00,H02J7/80,H02J7/84","特開2022-046958","","特許7469666","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-046958/11/ja"
"特開2022-046918","特願2020-152560","2020/09/11","2022/03/24","車両衝突試験装置、車両衝突試験方法、および車両衝突試験のパラメータ設定プログラム","シンフォニアテクノロジー株式会社","G01M7/08@A,G01M17/007@Z","特開2022-046918","","特許7502630","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-046918/11/ja"
"特開2022-030712","特願2020-134897","2020/08/07","2022/02/18","キャリアパレット車及びキャリアパレット車の誘導方法","シンフォニアテクノロジー株式会社","B61D47/00@A,G05D1/02@H,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-030712","","特許7518363","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-030712/11/ja"
"特開2022-029818","特願2020-133338","2020/08/05","2022/02/18","雲影の挙動予測システム、発電量予測システム、環境モニタリングシステムおよびこれらに使用する観測装置","シンフォニアテクノロジー株式会社,スカパーＪＳＡＴ株式会社,株式会社エイム,国立大学法人豊橋技術科学大学","G01W1/12@G","特開2022-029818","","特許7513972","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-029818/11/ja"
"特開2022-009019","特願2021-167154","2021/10/12","2022/01/14","搬送システム及び容器開閉装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-009019","","特許7277813","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-009019/11/ja"
"特開2021-195202","特願2020-101738","2020/06/11","2021/12/27","シュート、振動搬送装置","シンフォニアテクノロジー株式会社","B65G27/24,B65G27/04","特開2021-195202","","特許7506309","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-195202/11/ja"
"特開2021-181597","特願2020-087219","2020/05/19","2021/11/25","遠心噴霧装置及び遠心噴霧方法","シンフォニアテクノロジー株式会社","B22F9/10","特開2021-181597","","特許7496492","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-181597/11/ja"
"特開2021-180572","特願2020-085291","2020/05/14","2021/11/18","電力変換装置","シンフォニアテクノロジー株式会社","H02M7/48@K,H02M7/797,H02M3/155@G","特開2021-180572","","特許7568895","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-180572/11/ja"
"特開2021-178533","特願2020-083593","2020/05/12","2021/11/18","走行経路設定システム及び走行経路設定方法","シンフォニアテクノロジー株式会社","B64F3/00,B64F1/22","特開2021-178533","","特許7453537","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-178533/11/ja"
"特開2021-170903","特願2020-073899","2020/04/17","2021/10/28","電力変換装置及びそれを備えたモータ模擬装置","シンフォニアテクノロジー株式会社","H02M7/483,H02M3/28@W","特開2021-170903","","特許7457240","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-170903/11/ja"
