会社名,業種,排出量区分
福岡地所株式会社,不動産業・物品賃貸業,1
芙蓉総合リース株式会社,不動産業・物品賃貸業,1
三井不動産株式会社,不動産業・物品賃貸業,1
三菱地所株式会社,不動産業・物品賃貸業,1
森ビル株式会社,不動産業・物品賃貸業,1
株式会社麻布文明堂,不動産業・物品賃貸業,1
ＥＹ　Ｊａｐａｎ株式会社,学術研究・専門・技術サービス業,0
ＩＤ＆Ｅホールディングス株式会社,学術研究・専門・技術サービス業,0
アークエルテクノロジーズ株式会社,学術研究・専門・技術サービス業,0
アジア航測株式会社,学術研究・専門・技術サービス業,0
渥美坂井法律事務所弁護士法人,学術研究・専門・技術サービス業,0
アビームコンサルティング株式会社,学術研究・専門・技術サービス業,0
一般社団法人海外環境協力センター,学術研究・専門・技術サービス業,0
エー・シー・ティー日本株式会社,学術研究・専門・技術サービス業,0
応用地質株式会社,学術研究・専門・技術サービス業,0
オークツ株式会社,学術研究・専門・技術サービス業,0
カーボンフリーコンサルティング株式会社,学術研究・専門・技術サービス業,0
株式会社ＥｘＲｏａｄ,学術研究・専門・技術サービス業,0
株式会社Ｓｅｅｄ　Ｂａｎｋ,学術研究・専門・技術サービス業,0
株式会社アスア,学術研究・専門・技術サービス業,0
株式会社アート＆エコロジー,学術研究・専門・技術サービス業,0
株式会社ウェイストボックス,学術研究・専門・技術サービス業,0
株式会社エックス都市研究所,学術研究・専門・技術サービス業,0
株式会社オールニード,学術研究・専門・技術サービス業,0
株式会社建設技術研究所,学術研究・専門・技術サービス業,0
株式会社ゼロプラス,学術研究・専門・技術サービス業,0
株式会社ゼロボード,学術研究・専門・技術サービス業,0
株式会社総社技術コンサルタント,学術研究・専門・技術サービス業,0
株式会社地方グリーンプロジェクト支援研究所,学術研究・専門・技術サービス業,0
株式会社ドリームインキュベータ,学術研究・専門・技術サービス業,0
株式会社フェイガー,学術研究・専門・技術サービス業,0
株式会社ベイカレント,学術研究・専門・技術サービス業,0
一般財団法人グリーンスポーツアライアンス,学術研究・専門・技術サービス業,0
グロービング株式会社,学術研究・専門・技術サービス業,0
超え環境ビジネス株式会社,学術研究・専門・技術サービス業,0
国際航業株式会社,学術研究・専門・技術サービス業,0
税理士法人ウィズラン,学術研究・専門・技術サービス業,0
税理士法人山田アンドパートナーズ,学術研究・専門・技術サービス業,0
脱炭素化支援株式会社,学術研究・専門・技術サービス業,0
千代田化工建設株式会社,学術研究・専門・技術サービス業,0
デロイトトーマツコンサルティング合同会社,学術研究・専門・技術サービス業,0
ニイガタ株式会社,学術研究・専門・技術サービス業,0
弁護士法人Ｙ＆Ｐ法律事務所,学術研究・専門・技術サービス業,0
みらいブライト株式会社,学術研究・専門・技術サービス業,0
株式会社ゼロック,学術研究・専門・技術サービス業,0
株式会社エグゼクティブ・イニシアティブ,学術研究・専門・技術サービス業,0
一般社団法人運輸デジタルビジネス協議会,学術研究・専門・技術サービス業,0
ピコットエナジー株式会社,学術研究・専門・技術サービス業,0
売れるしくみづくり株式会社,学術研究・専門・技術サービス業,0
筒井測量設計株式会社,学術研究・専門・技術サービス業,0
合同会社ライトハウス・リサーチ&テクノロジーズ,学術研究・専門・技術サービス業,0
株式会社AOI,学術研究・専門・技術サービス業,0
ＰｗＣ　Ｊａｐａｎ合同会社,学術研究・専門・技術サービス業,0
NOSIGNER株式会社,学術研究・専門・技術サービス業,0
BSIグループジャパン株式会社,学術研究・専門・技術サービス業,0
株式会社sustainacraft,学術研究・専門・技術サービス業,0
株式会社ヴァンフォーレ山梨スポーツクラブ,生活関連サービス業等,0
株式会社スキルアップＮｅＸｔ,生活関連サービス業等,0
株式会社ベネッセコーポレーション,生活関連サービス業等,0
東武トップツアーズ株式会社,生活関連サービス業等,0
株式会社アルタレーナ,生活関連サービス業等,0
岡山賢人プロジェクト,生活関連サービス業等,0
株式会社サンヨー,生活関連サービス業等,0
issin株式会社,生活関連サービス業等,0
ホットホリデー合同会社,生活関連サービス業等,0
株式会社開拓塾,生活関連サービス業等,0
株式会社サードアイ,生活関連サービス業等,0
オンライントラベル株式会社,生活関連サービス業等,0
株式会社AWANA,医療・福祉,0
Ｃｏｄｏ　Ａｄｖｉｓｏｒｙ株式会社,サービス業 (他に分類されないもの),0
Ｋａｂｂａｒａ合同会社,サービス業 (他に分類されないもの),0
ＫＰＭＧコンサルティング株式会社,サービス業 (他に分類されないもの),0
ＮＥｘＴ－ｅ　Ｓｏｌｕｔｉｏｎｓ株式会社,サービス業 (他に分類されないもの),0
Ｒｅｉｖａｌｕｅ株式会社,サービス業 (他に分類されないもの),0
ＳＵＳＴＵＳ株式会社,サービス業 (他に分類されないもの),0
ＴＲＥホールディングス株式会社,サービス業 (他に分類されないもの),0
アミタホールディングス株式会社,サービス業 (他に分類されないもの),0
一般社団法人ＪＡＰＡＮゼロカーボン・スマートシティ・ファウンデーション,サービス業 (他に分類されないもの),0
一般社団法人環境エネルギー事業協会,サービス業 (他に分類されないもの),0
一般社団法人生コン・残コンソリューション技術研究会,サービス業 (他に分類されないもの),0
一般社団法人三浦湘南共創ネットワーク,サービス業 (他に分類されないもの),0
エネクラウド株式会社,サービス業 (他に分類されないもの),0
株式会社Ｆ．Ｃ．大阪,サービス業 (他に分類されないもの),0
株式会社Ｔｈｅ　Ｌｏｄｇｅｓ,サービス業 (他に分類されないもの),0
株式会社Ｖａｌｕｅ,サービス業 (他に分類されないもの),0
株式会社ＶＯＲＥＡＳ,サービス業 (他に分類されないもの),0
株式会社アイテック,サービス業 (他に分類されないもの),0
株式会社カーボントレード,サービス業 (他に分類されないもの),0
株式会社新日本科学,サービス業 (他に分類されないもの),0
株式会社ダイセキ,サービス業 (他に分類されないもの),0
