spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next
580004129,2023,0.8360655737704918,0.7696629213483146,0.8360655737704918,,,0.8149374570907082,35.0,3,0.5,0.4074687285453541,36.0,0.002691773137527387
500015052,2023,0.7704918032786885,0.8932584269662921,0.7704918032786885,,,0.8095539108156534,36.0,3,0.5,0.4047769554078267,37.0,0.0033490179005006837
985681705,2023,0.7868852459016393,0.8370786516853933,0.7868852459016393,,,0.802855875014652,37.0,3,0.5,0.401427937507326,38.0,0.0005170046383898286
985331903,2023,0.8142076502732241,0.7752808988764045,0.8142076502732241,,,0.8018218657378725,38.0,3,0.5,0.4009109328689362,39.0,0.0028320132621109106
985134029,2023,0.8032786885245902,0.7808988764044944,0.8032786885245902,,,0.7961578392136507,39.0,3,0.5,0.3980789196068253,40.0,0.005437967815937861
600019161,2023,0.7978142076502732,0.7584269662921348,0.7978142076502732,,,0.7852819035817749,40.0,3,0.5,0.3926409517908874,41.0,0.00454419866374195
710038762,2023,0.7923497267759563,0.7415730337078652,0.7923497267759563,,,0.776193506254291,41.0,3,0.5,0.3880967531271455,42.0,0.0028320132621107996
430018867,2023,0.7814207650273224,0.7471910112359551,0.7814207650273224,,,0.7705294797300694,43.0,3,0.5,0.3852647398650347,43.0,0.0011770402496135701
987601839,2023,0.7158469945355191,0.8764044943820225,0.7213114754098361,,,0.7681753992308423,44.0,3,0.5,0.3840876996154211,44.0,0.0009014869210117182
580045257,2023,0.5792349726775956,,0.5792349726775956,,,0.5792349726775956,84.0,2,0.6615384615384615,0.3831862126944094,45.0,0.005204191338838593
985794601,2023,0.726775956284153,0.8146067415730337,0.73224043715847,,,0.7559640427111417,45.0,3,0.5,0.3779820213555708,46.0,9.349341638892339e-05
985035755,2023,0.7650273224043715,0.7359550561797753,0.7650273224043715,,,0.7557770558783637,46.0,3,0.5,0.3778885279391819,47.0,0.0004988641247621883
675007221,2023,0.7486338797814208,0.7640449438202247,0.7540983606557377,,,0.7547793276288395,47.0,3,0.5,0.3773896638144197,48.0,0.002013597012675894
400108462,2023,0.73224043715847,0.7865168539325843,0.7377049180327869,,,0.7507521336034876,48.0,3,0.5,0.3753760668017438,49.0,0.0002441992219116007
985866101,2023,0.7595628415300546,0.7303370786516854,0.7595628415300546,,,0.7502637351596644,49.0,3,0.5,0.3751318675798322,50.0,0.006417555551834375
500011492,2023,0.6885245901639344,0.8539325842696629,0.6721311475409836,,,0.7374286240559957,50.0,3,0.5,0.3687143120279978,51.0,0.00033769263830041307
200106551,2023,0.7431693989071039,0.7191011235955056,0.7486338797814208,,,0.7367532387793948,51.0,3,0.5,0.3683766193896974,52.0,0.003029465775828022
348007181,2023,0.7540983606557377,0.7078651685393258,0.7158469945355191,,,0.7306943072277388,52.0,3,0.5,0.3653471536138694,53.0,0.0008288819303738926
985855107,2023,0.6775956284153005,0.8314606741573034,0.6885245901639344,,,0.7290365433669911,53.0,3,0.5,0.3645182716834955,54.0,0.0024733892619321907
400108551,2023,0.7377049180327869,0.6910112359550562,0.7431693989071039,,,0.7240897648431266,54.0,3,0.5,0.3620448824215633,55.0,0.006360343162700899
580001842,2023,0.7103825136612022,0.7134831460674157,0.7103825136612022,,,0.7113690785177248,55.0,3,0.5,0.3556845392588624,56.0,0.008119275272526372
985302607,2023,0.7049180327868853,0.6741573033707865,0.7049180327868853,,,0.695130527972672,56.0,3,0.5,0.347565263986336,57.0,0.0023903615264824207
988792136,2023,0.6612021857923497,0.7528089887640449,0.6612021857923497,,,0.6903498049197073,57.0,3,0.5,0.3451749024598536,58.0,0.00033769263830041307
985073809,2023,0.7213114754098361,0.6179775280898876,0.726775956284153,,,0.6896744196431064,58.0,3,0.5,0.3448372098215532,59.0,0.003754388608873782
985815308,2023,0.6939890710382514,0.6685393258426966,0.6775956284153005,,,0.6821656424253589,59.0,3,0.5,0.3410828212126794,60.0,0.0005379360002679134
430016693,2023,0.5846994535519126,0.8876404494382022,0.5846994535519126,,,0.681089770424823,60.0,3,0.5,0.3405448852124115,61.0,0.0009767968876460142
400001985,2023,0.6830601092896175,0.6629213483146067,0.6939890710382514,,,0.679136176649531,61.0,3,0.5,0.3395680883247655,62.0,0.0001220996109557726
800003425,2023,0.6994535519125683,0.6348314606741573,0.6994535519125683,,,0.6788919774276195,62.0,3,0.5,0.3394459887138097,63.0,0.0006028232220902097
580189711,2023,0.6557377049180327,0.7247191011235955,0.6557377049180327,,,0.6776863309834391,63.0,3,0.5,0.3388431654917195,64.0,0.0003195521246727173
430015561,2023,0.6721311475409836,0.6797752808988764,0.6830601092896175,,,0.6770472267340936,64.0,3,0.5,0.3385236133670468,65.0,0.00936120274396196
985475903,2023,0.6666666666666666,0.6404494382022472,0.6666666666666666,,,0.6583248212461696,65.0,3,0.5,0.3291624106230848,66.0,0.0029073661648721383
580004067,2023,0.6502732240437158,0.6573033707865169,0.6502732240437158,,,0.6525100889164254,66.0,3,0.5,0.3262550444582127,67.0,0.0011198278604798717
810002001,2023,0.6338797814207651,0.6853932584269663,0.6338797814207651,,,0.6502704331954656,67.0,3,0.5,0.3251352165977328,68.0,0.007893216564242633
580304671,2023,0.644808743169399,0.6123595505617978,0.644808743169399,,,0.6344840000669805,68.0,3,0.5,0.3172420000334902,69.0,0.002907366164872194
985115201,2023,0.6284153005464481,0.6292134831460674,0.6284153005464481,,,0.6286692677372361,69.0,3,0.5,0.314334633868618,70.0,0.0016368324988697003
580016326,2023,0.639344262295082,0.5955056179775281,0.639344262295082,,,0.6253956027394967,70.0,3,0.5,0.3126978013697483,71.0,0.0026500152407542
985724508,2023,0.6065573770491803,0.5842696629213483,0.6010928961748634,0.7804878048780488,,0.6200955722579882,71.0,4,0.5,0.3100477861289941,72.0,0.0030140112834675103
987070351,2023,0.6174863387978142,0.6067415730337079,0.6174863387978142,,,0.6140675496910533,72.0,3,0.5,0.3070337748455266,73.0,0.0028138727484831594
400095186,2023,0.5628415300546448,0.702247191011236,0.5683060109289617,,,0.6084398041940868,73.0,3,0.5,0.3042199020970434,74.0,0.0002441992219114897
985347402,2023,0.5901639344262295,0.6460674157303371,0.5901639344262295,,,0.6079514057502639,74.0,3,0.5,0.3039757028751319,75.0,0.0005767753050863189
580363860,2023,0.5683060109289617,0.5730337078651685,0.5737704918032787,,1.0,0.6067978551400913,75.0,4,0.5,0.3033989275700456,76.0,0.0009847042910220982
985351601,2023,0.6120218579234973,0.601123595505618,0.5956284153005464,,,0.604828446558047,76.0,3,0.5,0.3024142232790235,77.0,0.0024085020401101165
