法人番号,特定排出者コード,事業者・事業所名,区分,業種,所在地,"温室効果ガス算定排出量(tCO2)",ページ
9180301013336,400115574,万能工業株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県安城市,9106,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400115574&repDivID=1"
9010001054382,985692683,パーカー加工株式会社,特定事業所排出者,金属製品製造業,東京都中央区,9106,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985692683&repDivID=1"
6290001042858,800556391,株式会社三友ロジスティクス,特定貨物輸送事業者,道路貨物運送業,福岡県筑紫野市,9105,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800556391&repDivID=2"
8220001013657,987379559,ジェイ・バス株式会社,特定事業所排出者,輸送用機械器具製造業,石川県小松市,9104,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987379559&repDivID=1"
9090001000172,280002627,株式会社いちやまマート,特定事業所排出者,飲食料品小売業,山梨県中央市,9103,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=280002627&repDivID=1"
8120001149263,581395429,アクシアロジ株式会社,特定貨物輸送事業者,道路貨物運送業,大阪府枚方市,9100,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581395429&repDivID=2"
9010401035346,010386631,スターゼンミートプロセッサー株式会社,特定荷主,食料品製造業,東京都港区,9098,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=010386631&repDivID=5"
8700150101346,991338795,"オークラプレステージタワー／オークラヘリテージウィング管理組合",特定事業所排出者,不動産賃貸業・管理業,東京都港区,9097,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991338795&repDivID=1"
3470001004116,710063999,株式会社ヤマウチ,特定事業所排出者,その他の小売業,香川県高松市,9096,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=710063999&repDivID=1"
9090001009602,280135409,大蔵電気株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,山梨県富士吉田市,9094,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=280135409&repDivID=1"
5130001017950,500004756,タキイ種苗株式会社,特定事業所排出者,その他の卸売業,京都府京都市,9091,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=500004756&repDivID=1"
1010601022176,982683107,株式会社大和総研,特定事業所排出者,情報サービス業,東京都江東区,9091,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982683107&repDivID=1"
7080001014191,985684547,沼津熔銅株式会社,特定事業所排出者,非鉄金属製造業,静岡県島田市,9089,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985684547&repDivID=1"
8000020069710,990697107,置賜広域病院企業団,特定事業所排出者,医療業,山形県川西町,9079,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=990697107&repDivID=1"
8380001003254,180079737,福島太陽誘電株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,福島県伊達市,9074,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=180079737&repDivID=1"
