spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next,jenks_class,jenks_k,jenks_gvf
530000266,2023,0.0081967213114754,0.0084269662921348,0.0081967213114754,0.1219512195121951,,0.0219117296901464,182.0,4,0.5276923076923077,0.0115626512057234,182.0,0.0028962337277708,0,7,0.11859019169248773
640351830,2023,0.0218579234972677,0.0337078651685393,0.0273224043715847,0.1463414634146341,,0.0412068281301711,180.0,4,0.5035897435897436,0.0207513360122195,180.0,0.0046760761772951,0,7,0.11859019169248773
985313100,2023,0.0327868852459016,0.0224719101123595,0.0437158469945355,,0.4666666666666667,0.0682118663146476,175.0,4,0.5011538461538461,0.0341846391569176,175.0,0.0028758443227914,0,7,0.11859019169248773
985780104,2023,0.8688524590163934,0.9438202247191012,0.8688524590163934,,0.9333333333333332,0.8960914635394283,19.0,4,0.5,0.4480457317697141,22.0,0.0030282331511839455,0,7,0.11859019169248773
985724508,2023,0.6065573770491803,0.5842696629213483,0.6010928961748634,0.7804878048780488,,0.6200955722579882,71.0,4,0.5,0.3100477861289941,72.0,0.0030140112834675103,0,7,0.11859019169248773
580363860,2023,0.5683060109289617,0.5730337078651685,0.5737704918032787,,1.0,0.6067978551400913,75.0,4,0.5,0.3033989275700456,76.0,0.0009847042910220982,0,7,0.11859019169248773
500025003,2023,0.5300546448087432,0.5674157303370787,0.5191256830601093,0.951219512195122,,0.5888697404933159,80.0,4,0.5,0.2944348702466579,81.0,0.0010441570732959704,0,7,0.11859019169248773
400014025,2023,0.5737704918032787,0.5449438202247191,0.5628415300546448,0.7317073170731707,,0.5824656504439423,83.0,4,0.5,0.2912328252219711,84.0,0.011841006872701954,0,7,0.11859019169248773
985681302,2023,0.4808743169398907,0.4831460674157303,0.4699453551912568,1.0,,0.5416196966906122,88.0,4,0.5,0.2708098483453061,88.0,0.006762463553904308,0,7,0.11859019169248773
985350103,2023,0.5245901639344263,0.4887640449438202,0.4972677595628415,0.6829268292682927,,0.5280947695828037,89.0,4,0.5,0.2640473847914018,89.0,0.0018164923339482608,0,7,0.11859019169248773
985711303,2023,0.4316939890710382,0.4606741573033708,0.448087431693989,,0.8,0.4742540062626634,98.0,4,0.5,0.2371270031313317,98.0,0.0006151378399950058,0,7,0.11859019169248773
400083612,2023,0.4644808743169399,0.4662921348314606,0.4754098360655737,,0.5333333333333333,0.4730237305826734,99.0,4,0.5,0.2365118652913367,99.0,0.005573358841686388,0,7,0.11859019169248773
580002410,2023,0.4426229508196721,0.4550561797752809,0.3770491803278688,0.6585365853658537,,0.4588991369744237,101.0,4,0.5,0.2294495684872118,101.0,0.003252713215020381,0,7,0.11859019169248773
985354701,2023,0.4863387978142076,0.3820224719101123,0.3989071038251366,0.3902439024390244,,0.4281125003182248,106.0,4,0.5,0.2140562501591124,106.0,0.0007511243615490049,0,7,0.11859019169248773
985681204,2023,0.360655737704918,0.3539325842696629,0.3715846994535519,0.8536585365853658,,0.420119382958427,109.0,4,0.5,0.2100596914792135,110.0,0.0023645367764947856,0,7,0.11859019169248773
580010082,2023,0.3224043715846995,0.3202247191011236,0.3442622950819672,0.975609756097561,,0.4045502997302951,113.0,4,0.5,0.2022751498651475,114.0,0.0037961444635628006,0,7,0.11859019169248773
